service_id,date,exception_type
130872_8__271___,20241108,2
130872_8__271___,20241115,2
130872_8__271___,20241122,2
130876_8__271___,20241108,2
130876_8__271___,20241115,2
130876_8__271___,20241122,2
130775_8__271___,20241101,2
130776_8__271___,20241101,2
130782_8__271___,20241101,2
130783_8__271___,20241101,2
130871_8__272___,20241108,2
130871_8__272___,20241115,2
130871_8__272___,20241122,2
130875_8__272___,20241108,2
130875_8__272___,20241115,2
130875_8__272___,20241122,2
130777_8__272___,20241101,2
130778_8__272___,20241101,2
130874_8__275___,20241108,2
130874_8__275___,20241115,2
130874_8__275___,20241122,2
130877_8__275___,20241108,2
130877_8__275___,20241115,2
130877_8__275___,20241122,2
130780_8__275___,20241101,2
130781_8__275___,20241101,2
130784_8__275___,20241101,2
130873_8_N_200___,20241108,2
130873_8_N_200___,20241115,2
130873_8_N_200___,20241122,2
130779_8_N_200___,20241101,2
