trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
130872_8__271___-1962245,17:15:00,17:15:00,par_8_07026,0,,,,
130872_8__271___-1962245,17:18:00,17:18:00,par_8_09465,1,,,,
130872_8__271___-1962245,17:19:00,17:19:00,par_8_07219,2,,,,
130872_8__271___-1962245,17:21:00,17:21:00,par_8_12415,3,,,,
130872_8__271___-1962245,17:28:00,17:28:00,par_8_08996,4,,,,
130872_8__271___-1962245,17:29:00,17:29:00,par_8_15367,5,,,,
130872_8__271___-1962245,17:33:00,17:33:00,par_8_15162,6,,,,
130872_8__271___-1962245,17:35:00,17:35:00,par_8_15164,7,,,,
130872_8__271___-1962245,17:37:00,17:37:00,par_8_17765,8,,,,
130872_8__271___-1962245,17:38:00,17:38:00,par_8_12535,9,,,,
130872_8__271___-1962245,17:39:00,17:39:00,par_8_12537,10,,,,
130872_8__271___-1962245,17:40:00,17:40:00,par_8_12539,11,,,,
130872_8__271___-1962245,17:41:00,17:41:00,par_8_12541,12,,,,
130872_8__271___-1962245,17:41:00,17:41:00,par_8_20173,13,,,,
130872_8__271___-1962245,17:44:00,17:44:00,par_8_12542,14,,,,
130872_8__271___-1962245,17:45:00,17:45:00,par_8_08993,15,,,,
130872_8__271___-1962245,17:49:00,17:49:00,par_8_07311,16,,,,
130872_8__271___-1962245,18:03:00,18:03:00,par_8_07387,17,,,,
130872_8__271___-1962245,18:06:00,18:06:00,par_8_18502,18,,,,
130872_8__271___-1962245,18:10:00,18:10:00,par_8_99302,19,,,,
130872_8__271___-1962245,18:12:00,18:12:00,par_8_99304,20,,,,
130872_8__271___-1962245,18:15:00,18:15:00,par_8_20865,21,,,,
130872_8__271___-1962248,18:15:01,18:15:01,par_8_20865,0,,,,
130872_8__271___-1962248,18:17:00,18:17:00,par_8_99303,1,,,,
130872_8__271___-1962248,18:19:00,18:19:00,par_8_99301,2,,,,
130872_8__271___-1962248,18:24:00,18:24:00,par_8_18501,3,,,,
130872_8__271___-1962248,18:26:00,18:26:00,par_8_09665,4,,,,
130872_8__271___-1962248,18:40:00,18:40:00,par_8_09528,5,,,,
130872_8__271___-1962248,18:44:00,18:44:00,par_8_12544,6,,,,
130872_8__271___-1962248,18:45:00,18:45:00,par_8_12543,7,,,,
130872_8__271___-1962248,18:48:00,18:48:00,par_8_20172,8,,,,
130872_8__271___-1962248,18:48:00,18:48:00,par_8_12540,9,,,,
130872_8__271___-1962248,18:49:00,18:49:00,par_8_12538,10,,,,
130872_8__271___-1962248,18:50:00,18:50:00,par_8_12536,11,,,,
130872_8__271___-1962248,18:51:00,18:51:00,par_8_12534,12,,,,
130872_8__271___-1962248,18:52:00,18:52:00,par_8_17764,13,,,,
130872_8__271___-1962248,18:54:00,18:54:00,par_8_15163,14,,,,
130872_8__271___-1962248,18:56:00,18:56:00,par_8_15161,15,,,,
130872_8__271___-1962248,18:57:00,18:57:00,par_8_17767,16,,,,
130872_8__271___-1962248,19:00:00,19:00:00,par_8_15366,17,,,,
130872_8__271___-1962248,19:01:00,19:01:00,par_8_12040,18,,,,
130872_8__271___-1962248,19:02:00,19:02:00,par_8_08999,19,,,,
130872_8__271___-1962248,19:08:00,19:08:00,par_8_12416,20,,,,
130872_8__271___-1962248,19:09:00,19:09:00,par_8_06976,21,,,,
130872_8__271___-1962248,19:11:00,19:11:00,par_8_20659,22,,,,
130872_8__271___-1962248,19:15:01,19:15:01,par_8_20399,23,,,,
130872_8__271___-1962240,20:40:00,20:40:00,par_8_07026,0,,,,
130872_8__271___-1962240,20:43:00,20:43:00,par_8_09465,1,,,,
130872_8__271___-1962240,20:44:00,20:44:00,par_8_07219,2,,,,
130872_8__271___-1962240,20:46:00,20:46:00,par_8_12415,3,,,,
130872_8__271___-1962240,20:51:00,20:51:00,par_8_08996,4,,,,
130872_8__271___-1962240,20:53:00,20:53:00,par_8_15367,5,,,,
130872_8__271___-1962240,20:56:00,20:56:00,par_8_15162,6,,,,
130872_8__271___-1962240,20:58:00,20:58:00,par_8_09444,7,,,,
130872_8__271___-1962240,21:01:00,21:01:00,par_8_17751,8,,,,
130872_8__271___-1962240,21:01:00,21:01:00,par_8_17753,9,,,,
130872_8__271___-1962240,21:02:00,21:02:00,par_8_17758,10,,,,
130872_8__271___-1962240,21:03:00,21:03:00,par_8_17759,11,,,,
130872_8__271___-1962240,21:03:00,21:03:00,par_8_18456,12,,,,
130872_8__271___-1962240,21:07:00,21:07:00,par_8_07311,13,,,,
130872_8__271___-1962240,21:20:00,21:20:00,par_8_09665,14,,,,
130872_8__271___-1962243,21:20:01,21:20:01,par_8_09665,0,,,,
130872_8__271___-1962243,21:35:00,21:35:00,par_8_09528,1,,,,
130872_8__271___-1962243,21:39:00,21:39:00,par_8_18457,2,,,,
130872_8__271___-1962243,21:40:00,21:40:00,par_8_17760,3,,,,
130872_8__271___-1962243,21:41:00,21:41:00,par_8_17757,4,,,,
130872_8__271___-1962243,21:42:00,21:42:00,par_8_17754,5,,,,
130872_8__271___-1962243,21:42:00,21:42:00,par_8_17752,6,,,,
130872_8__271___-1962243,21:46:00,21:46:00,par_8_08994,7,,,,
130872_8__271___-1962243,21:49:00,21:49:00,par_8_15161,8,,,,
130872_8__271___-1962243,21:50:00,21:50:00,par_8_17767,9,,,,
130872_8__271___-1962243,21:53:00,21:53:00,par_8_15366,10,,,,
130872_8__271___-1962243,21:55:00,21:55:00,par_8_12040,11,,,,
130872_8__271___-1962243,21:55:00,21:55:00,par_8_08999,12,,,,
130872_8__271___-1962243,22:02:00,22:02:00,par_8_12416,13,,,,
130872_8__271___-1962243,22:04:00,22:04:00,par_8_06976,14,,,,
130872_8__271___-1962243,22:05:00,22:05:00,par_8_20659,15,,,,
130872_8__271___-1962243,22:10:01,22:10:01,par_8_20399,16,,,,
130872_8__271___-1962246,23:30:00,23:30:00,par_8_07026,0,,,,
130872_8__271___-1962246,23:33:00,23:33:00,par_8_09465,1,,,,
130872_8__271___-1962246,23:34:00,23:34:00,par_8_07219,2,,,,
130872_8__271___-1962246,23:36:00,23:36:00,par_8_12415,3,,,,
130872_8__271___-1962246,23:43:00,23:43:00,par_8_08996,4,,,,
130872_8__271___-1962246,23:44:00,23:44:00,par_8_15367,5,,,,
130872_8__271___-1962246,23:48:00,23:48:00,par_8_15162,6,,,,
130872_8__271___-1962246,23:50:00,23:50:00,par_8_15164,7,,,,
130872_8__271___-1962246,23:52:00,23:52:00,par_8_17765,8,,,,
130872_8__271___-1962246,23:53:00,23:53:00,par_8_12535,9,,,,
130872_8__271___-1962246,23:54:00,23:54:00,par_8_12537,10,,,,
130872_8__271___-1962246,23:55:00,23:55:00,par_8_12539,11,,,,
130872_8__271___-1962246,23:56:00,23:56:00,par_8_12541,12,,,,
130872_8__271___-1962246,23:56:00,23:56:00,par_8_20173,13,,,,
130872_8__271___-1962246,23:59:00,23:59:00,par_8_12542,14,,,,
130872_8__271___-1962246,24:00:00,24:00:00,par_8_08993,15,,,,
130872_8__271___-1962246,24:04:00,24:04:00,par_8_07311,16,,,,
130872_8__271___-1962246,24:18:00,24:18:00,par_8_07387,17,,,,
