service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
25_8__510___,1,1,1,1,1,1,1,20241027,20251126
26_8__510___,1,1,1,1,1,1,1,20241027,20251126
27_8__510___,1,1,1,1,1,1,1,20241027,20251126
28_8__510___,1,1,1,1,1,1,1,20241027,20251126
711_8__510___,0,0,0,0,1,1,1,20241027,20251124
712_8__510___,0,0,0,0,1,1,1,20241027,20251124
23_8__510___,1,1,1,1,1,0,0,20241028,20251126
239_8__510___,1,1,1,1,1,0,0,20241028,20251126
24_8__510___,1,1,1,1,1,0,0,20241028,20251126
53_8__510___,1,1,1,1,1,0,0,20241028,20251126
713_8__510___,1,1,1,1,1,0,0,20241028,20251126
714_8__510___,1,1,1,1,1,0,0,20241028,20251126
715_8__510___,1,1,1,1,1,0,0,20241028,20251126
716_8__510___,1,1,1,1,1,0,0,20241028,20251126
353_8__510_A__,1,1,1,1,1,0,0,20241028,20251126
354_8__510_A__,1,1,1,1,1,0,0,20241028,20251126
355_8__510_A__,1,1,1,1,1,0,0,20241028,20251126
356_8__510_A__,1,1,1,1,1,0,0,20241028,20251126
357_8__510_A__,1,1,1,1,1,0,0,20241028,20251126
358_8__510_A__,1,1,1,1,1,0,0,20241028,20251126
1_8__511___,1,1,1,1,1,1,1,20241027,20251126
2_8__511___,1,1,1,1,1,1,1,20241027,20251126
3_8__511___,1,1,1,1,1,1,1,20241027,20251126
4_8__511___,1,1,1,1,1,1,1,20241027,20251126
5_8__511___,1,1,1,1,1,1,1,20241027,20251126
6_8__511___,1,1,1,1,1,1,1,20241027,20251126
7_8__511___,1,1,1,1,1,1,1,20241027,20251126
720_8__511___,0,0,0,0,0,1,1,20241027,20251124
8_8__511___,1,1,1,1,1,1,1,20241027,20251126
10_8__511___,1,1,1,1,1,0,0,20241028,20251126
11_8__511___,1,1,1,1,1,0,0,20241028,20251126
12_8__511___,1,1,1,1,1,0,0,20241028,20251126
723_8__511___,1,1,1,1,1,0,0,20241028,20251126
724_8__511___,1,1,1,1,1,0,0,20241028,20251126
9_8__511___,1,1,1,1,1,0,0,20241028,20251126
719_8__511___,0,0,0,0,0,1,0,20241102,20251123
32_8__512___,1,1,1,1,1,1,1,20241027,20251126
33_8__512___,1,1,1,1,1,1,1,20241027,20251126
34_8__512___,1,1,1,1,1,1,1,20241027,20251126
35_8__512___,1,1,1,1,1,1,1,20241027,20251126
36_8__512___,1,1,1,1,1,1,1,20241027,20251126
37_8__512___,1,1,1,1,1,1,1,20241027,20251126
38_8__512___,1,1,1,1,1,1,1,20241027,20251126
39_8__512___,1,1,1,1,1,1,1,20241027,20251126
40_8__512___,1,1,1,1,1,1,1,20241027,20251126
41_8__512___,1,1,1,1,1,1,1,20241027,20251126
729_8__512___,0,0,0,0,0,1,1,20241027,20251124
730_8__512___,0,0,0,0,0,1,1,20241027,20251124
731_8__512___,0,0,0,0,0,1,1,20241027,20251124
15_8__512___,1,1,1,1,1,0,0,20241028,20251126
42_8__512___,1,1,1,1,1,0,0,20241028,20251126
43_8__512___,1,1,1,1,1,0,0,20241028,20251126
44_8__512___,1,1,1,1,1,0,0,20241028,20251126
45_8__512___,1,1,1,1,1,0,0,20241028,20251126
46_8__512___,1,1,1,1,1,0,0,20241028,20251126
48_8__512___,1,1,1,1,1,0,0,20241028,20251126
49_8__512___,1,1,1,1,1,0,0,20241028,20251126
50_8__512___,1,1,1,1,1,0,0,20241028,20251126
51_8__512___,1,1,1,1,1,0,0,20241028,20251126
732_8__512___,1,1,1,1,1,0,0,20241028,20251126
733_8__512___,1,1,1,1,1,0,0,20241028,20251126
734_8__512___,1,1,1,1,1,0,0,20241028,20251126
735_8__512___,1,1,1,1,1,0,0,20241028,20251126
736_8__512___,1,1,1,1,1,0,0,20241028,20251126
737_8__512___,1,1,1,1,1,0,0,20241028,20251126
738_8__512___,1,1,1,1,1,0,0,20241028,20251126
746_8__512___,0,0,0,0,0,1,0,20241102,20251123
747_8__512___,0,0,0,0,0,1,0,20241102,20251123
748_8__512___,0,0,0,0,0,1,0,20241102,20251123
749_8__512___,0,0,0,0,0,1,0,20241102,20251123
54_8__513___,1,1,1,1,1,1,1,20241027,20251126
55_8__513___,1,1,1,1,1,1,1,20241027,20251126
56_8__513___,1,1,1,1,1,1,1,20241027,20251126
57_8__513___,1,1,1,1,1,1,1,20241027,20251126
58_8__513___,1,1,1,1,1,1,1,20241027,20251126
59_8__513___,1,1,1,1,1,1,1,20241027,20251126
60_8__513___,1,1,1,1,1,1,1,20241027,20251126
61_8__513___,1,1,1,1,1,1,1,20241027,20251126
62_8__513___,1,1,1,1,1,1,1,20241027,20251126
