route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__510___,25_8__510___,25_8__510___-8__510____6_06:15:00_2_bc__1_8__510___,AV.ALCALDE JOSÉ ARANDA-AV.POLVORANCA,510 ALCORCÓN (por urb. El Bosque y Campodón),1,,8__510____2_bc_IT_2,0
8__510___,25_8__510___,25_8__510___-8__510____6_08:00:00_1_xc__2_8__510___,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-8__510____6_09:00:00_2_xc__3_8__510___,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-8__510____6_10:00:00_1_xc__4_8__510___,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-8__510____6_11:00:00_2_xc__5_8__510___,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-8__510____6_12:00:00_1_xc__6_8__510___,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-8__510____6_13:00:00_2_xc__7_8__510___,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-8__510____1_07:30:00_1_x.__4_8__510___,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón,0,,8__510____1_x._IT_2,0
8__510___,25_8__510___,25_8__510___-8__510____1_08:30:00_2_xc__5_8__510___,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-8__510____1_09:30:00_1_-__8_8__510___,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque),0,,8__510____1_-_IT_1,0
8__510___,25_8__510___,25_8__510___-8__510____1_10:30:00_2_xc__9_8__510___,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-8__510____1_11:30:00_1_-__12_8__510___,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque),0,,8__510____1_-_IT_1,0
