service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
801_8__580___,1,1,1,1,1,0,0,20241028,20251126
811_8__581___,1,1,1,1,1,1,1,20241027,20251126
812_8__581___,1,1,1,1,1,1,1,20241027,20251126
813_8__581___,1,1,1,1,1,0,0,20241028,20251126
814_8__581___,1,1,1,1,1,0,0,20241028,20251126
815_8__581___,1,1,1,1,1,0,0,20241028,20251126
816_8__581___,1,1,1,1,1,0,0,20241028,20251126
817_8__581___,1,1,1,1,1,0,0,20241028,20251126
201_8__620___,1,1,1,1,1,1,1,20241027,20251126
202_8__620___,1,1,1,1,1,0,0,20241028,20251126
211_8__621___,1,1,1,1,1,1,1,20241027,20251126
212_8__621___,1,1,1,1,1,1,1,20241027,20251126
213_8__621___,1,1,1,1,1,1,1,20241027,20251126
214_8__621___,1,1,1,1,1,0,0,20241028,20251126
215_8__621___,1,1,1,1,1,0,0,20241028,20251126
216_8__621___,1,1,1,1,1,0,0,20241028,20251126
221_8__622___,1,1,1,1,1,1,1,20241027,20251126
222_8__622___,1,1,1,1,1,1,1,20241027,20251126
223_8__622___,1,1,1,1,1,1,1,20241027,20251126
224_8__622___,1,1,1,1,1,1,0,20241028,20251126
220_8__622___,0,0,0,1,1,1,0,20241031,20251123
231_8__623___,1,1,1,1,1,0,0,20241028,20251126
232_8__623___,1,1,1,1,1,0,0,20241028,20251126
211_8__624___,1,1,1,1,1,0,0,20241028,20251126
212_8__624___,1,1,1,1,1,0,0,20241028,20251126
213_8__624___,1,1,1,1,1,0,0,20241028,20251126
214_8__624___,1,1,1,1,1,0,0,20241028,20251126
215_8__624___,1,1,1,1,1,0,0,20241028,20251126
216_8__624___,1,1,1,1,1,0,0,20241028,20251126
401_8__624_A__,1,1,1,1,1,1,1,20241027,20251126
402_8__624_A__,1,1,1,1,1,0,0,20241028,20251126
251_8__625___,1,1,1,1,1,1,1,20241027,20251126
252_8__625___,1,1,1,1,1,1,1,20241027,20251126
253_8__625___,1,1,1,1,1,1,1,20241027,20251126
254_8__625___,1,1,1,1,1,1,1,20241027,20251126
255_8__625___,1,1,1,1,1,1,1,20241027,20251126
256_8__625___,1,1,1,1,1,1,0,20241028,20251126
257_8__625___,1,1,1,1,1,1,0,20241028,20251126
258_8__625___,1,1,1,1,1,1,0,20241028,20251126
