service_id,date,exception_type
801_8__580___,20241101,2
813_8__581___,20241101,2
814_8__581___,20241101,2
815_8__581___,20241101,2
816_8__581___,20241101,2
817_8__581___,20241101,2
202_8__620___,20241101,2
214_8__621___,20241101,2
215_8__621___,20241101,2
216_8__621___,20241101,2
224_8__622___,20241101,2
220_8__622___,20241107,2
220_8__622___,20241114,2
220_8__622___,20241121,2
231_8__623___,20241101,2
232_8__623___,20241101,2
211_8__624___,20241101,2
212_8__624___,20241101,2
213_8__624___,20241101,2
214_8__624___,20241101,2
215_8__624___,20241101,2
216_8__624___,20241101,2
402_8__624_A__,20241101,2
256_8__625___,20241101,2
257_8__625___,20241101,2
258_8__625___,20241101,2
259_8__625___,20241101,2
510_8__625___,20241101,2
511_8__625___,20241101,2
512_8__625___,20241101,2
513_8__625___,20241101,2
514_8__625___,20241101,2
515_8__625___,20241101,2
266_8__626___,20241101,2
267_8__626___,20241101,2
2601_8__626_A__,20241101,2
2602_8__626_A__,20241101,2
277_8__627___,20241101,2
278_8__627___,20241101,2
279_8__627___,20241101,2
710_8__627___,20241101,2
711_8__627___,20241101,2
712_8__627___,20241101,2
713_8__627___,20241101,2
714_8__627___,20241101,2
907_8__627___,20241101,2
284_8__628___,20241101,2
285_8__628___,20241101,2
286_8__628___,20241101,2
287_8__628___,20241101,2
288_8__628___,20241101,2
289_8__628___,20241101,2
881_8__628___,20241107,2
881_8__628___,20241114,2
881_8__628___,20241121,2
293_8__629___,20241101,2
294_8__629___,20241101,2
295_8__629___,20241101,2
903_8_N_903___,20241031,2
91_8_N_903___,20241107,2
91_8_N_903___,20241114,2
91_8_N_903___,20241121,2
92_8_N_903___,20241107,2
92_8_N_903___,20241114,2
92_8_N_903___,20241121,2
93_8_N_903___,20241107,2
93_8_N_903___,20241114,2
93_8_N_903___,20241121,2
12_9__1__127_,20241101,2
22_9__2__127_,20241101,2
23_9__2__127_,20241101,2
24_9__2__127_,20241101,2
25_9__2__127_,20241101,2
