route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960616,UNIV.ALCALÁ-POLITÉCNICO,2 UNIVERSIDAD/HOSPITAL,0,,9__2__005__1_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960649,AV.REYES CATÓLICOS-PUERTA DE SANTA ANA,2 PUERTA DE SANTA ANA,1,,9__2__005__2_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960618,UNIV.ALCALÁ-POLITÉCNICO,2 UNIVERSIDAD/HOSPITAL,0,,9__2__005__1_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960651,AV.REYES CATÓLICOS-PUERTA DE SANTA ANA,2 PUERTA DE SANTA ANA,1,,9__2__005__2_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960620,UNIV.ALCALÁ-POLITÉCNICO,2 UNIVERSIDAD/HOSPITAL,0,,9__2__005__1_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960653,AV.REYES CATÓLICOS-PUERTA DE SANTA ANA,2 PUERTA DE SANTA ANA,1,,9__2__005__2_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960622,UNIV.ALCALÁ-POLITÉCNICO,2 UNIVERSIDAD/HOSPITAL,0,,9__2__005__1_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960655,AV.REYES CATÓLICOS-PUERTA DE SANTA ANA,2 PUERTA DE SANTA ANA,1,,9__2__005__2_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960624,UNIV.ALCALÁ-POLITÉCNICO,2 UNIVERSIDAD/HOSPITAL,0,,9__2__005__1_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960657,AV.REYES CATÓLICOS-PUERTA DE SANTA ANA,2 PUERTA DE SANTA ANA,1,,9__2__005__2_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960626,UNIV.ALCALÁ-POLITÉCNICO,2 UNIVERSIDAD/HOSPITAL,0,,9__2__005__1_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960659,AV.REYES CATÓLICOS-PUERTA DE SANTA ANA,2 PUERTA DE SANTA ANA,1,,9__2__005__2_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960628,UNIV.ALCALÁ-POLITÉCNICO,2 UNIVERSIDAD/HOSPITAL,0,,9__2__005__1_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960661,AV.REYES CATÓLICOS-PUERTA DE SANTA ANA,2 PUERTA DE SANTA ANA,1,,9__2__005__2_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960630,UNIV.ALCALÁ-POLITÉCNICO,2 UNIVERSIDAD/HOSPITAL,0,,9__2__005__1_-_IT_1,0
9__2__005_,130724_9__2__005_,130724_9__2__005_-1960663,AV.REYES CATÓLICOS-PUERTA DE SANTA ANA,2 PUERTA DE SANTA ANA,1,,9__2__005__2_-_IT_1,0
9__2__005_,130725_9__2__005_,130725_9__2__005_-1960632,AV.REYES CATÓLICOS-PUERTA DE SANTA ANA,2 PUERTA DE SANTA ANA,1,,9__2__005__2_-_IT_1,0
9__2__005_,130725_9__2__005_,130725_9__2__005_-1960601,UNIV.ALCALÁ-POLITÉCNICO,2 UNIVERSIDAD/HOSPITAL,0,,9__2__005__1_-_IT_1,0
9__2__005_,130725_9__2__005_,130725_9__2__005_-1960634,AV.REYES CATÓLICOS-PUERTA DE SANTA ANA,2 PUERTA DE SANTA ANA,1,,9__2__005__2_-_IT_1,0
