service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
130724_9__2__005_,0,0,0,0,0,0,1,20241027,20251124
130725_9__2__005_,0,0,0,0,0,0,1,20241027,20251124
130730_9__2__005_,0,0,0,0,0,0,1,20241027,20251124
130751_9__2__005_,0,0,0,0,0,0,1,20241027,20251124
131170_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131178_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131184_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131195_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131201_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131212_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131213_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131219_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131238_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131242_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131243_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131247_9__2__005_,1,1,1,0,0,0,0,20241028,20241030
131360_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131368_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131374_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131385_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131392_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131404_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131405_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131411_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131431_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131436_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131437_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131441_9__2__005_,0,0,0,1,0,0,0,20241031,20241031
131505_9__2__005_,0,0,0,0,1,0,0,20241101,20241101
131506_9__2__005_,0,0,0,0,1,0,0,20241101,20241101
131511_9__2__005_,0,0,0,0,1,0,0,20241101,20241101
131535_9__2__005_,0,0,0,0,1,0,0,20241101,20241101
130604_9__2__005_,0,0,0,0,0,1,0,20241102,20251123
130605_9__2__005_,0,0,0,0,0,1,0,20241102,20251123
