service_id,date,exception_type
1_8__480___,20241101,2
6_8__480___,20241101,2
7_8__480___,20241101,2
8_8__480___,20241101,2
3_8__481___,20241108,2
3_8__481___,20241115,2
3_8__481___,20241122,2
1_8__481___,20241101,2
10_8__481___,20241101,2
11_8__481___,20241101,2
5_8__481___,20241101,2
10_8__482___,20241108,2
10_8__482___,20241115,2
10_8__482___,20241122,2
3_8__482___,20241108,2
3_8__482___,20241115,2
3_8__482___,20241122,2
1_8__482___,20241101,2
5_8__482___,20241101,2
8_8__482___,20241101,2
9_8__482___,20241101,2
1_8__483___,20241101,2
10_8__483___,20241101,2
6_8__483___,20241101,2
9_8__483___,20241101,2
12_8__484___,20241108,2
12_8__484___,20241115,2
12_8__484___,20241122,2
11_8__484___,20241101,2
13_8__484___,20241101,2
16_8__484___,20241101,2
17_8__484___,20241101,2
3_8__484___,20241101,2
5_8__484___,20241101,2
6_8__484___,20241101,2
7_8__484___,20241101,2
3_8__485___,20241101,2
4_8__485___,20241101,2
6_8__485___,20241101,2
5_8__486___,20241108,2
5_8__486___,20241115,2
5_8__486___,20241122,2
10_8__486___,20241101,2
11_8__486___,20241101,2
2_8__486___,20241101,2
4_8__486___,20241101,2
7_8__486___,20241101,2
8_8__486___,20241101,2
1_8__487___,20241108,2
1_8__487___,20241115,2
1_8__487___,20241122,2
3_8__487___,20241101,2
6_8__487___,20241101,2
7_8__487___,20241101,2
6_8__488___,20241101,2
7_8__488___,20241101,2
3_8__491___,20241108,2
3_8__491___,20241115,2
3_8__491___,20241122,2
6_8__491___,20241108,2
6_8__491___,20241115,2
6_8__491___,20241122,2
10_8__491___,20241101,2
11_8__491___,20241101,2
2_8__491___,20241101,2
4_8__491___,20241101,2
7_8__491___,20241101,2
3_8__492___,20241108,2
3_8__492___,20241115,2
3_8__492___,20241122,2
10_8__492___,20241101,2
11_8__492___,20241101,2
2_8__492___,20241101,2
4_8__492___,20241101,2
3_8__493___,20241108,2
3_8__493___,20241115,2
3_8__493___,20241122,2
1_8__493___,20241101,2
4_8__493___,20241101,2
8_8__493___,20241101,2
9_8__493___,20241101,2
1_8__495___,20241101,2
10_8__495___,20241101,2
11_8__495___,20241101,2
12_8__495___,20241101,2
3_8__495___,20241101,2
6_8__495___,20241101,2
7_8__495___,20241101,2
8_8__495___,20241101,2
9_8__495___,20241101,2
4_8__496___,20241101,2
5_8__496___,20241101,2
3_8__497___,20241108,2
3_8__497___,20241115,2
3_8__497___,20241122,2
5_8__497___,20241101,2
6_8__497___,20241101,2
7_8__497___,20241101,2
8_8__497___,20241101,2
3_8__498___,20241101,2
4_8__498___,20241101,2
10_8__498___,20241107,2
10_8__498___,20241114,2
10_8__498___,20241121,2
16_8__498___,20241107,2
16_8__498___,20241114,2
16_8__498___,20241121,2
3_8__499___,20241101,2
6_8_N_802___,20241107,2
6_8_N_802___,20241114,2
6_8_N_802___,20241121,2
11_8_N_803___,20241107,2
11_8_N_803___,20241114,2
11_8_N_803___,20241121,2
2_8_N_803___,20241107,2
2_8_N_803___,20241114,2
2_8_N_803___,20241121,2
10_8_N_804___,20241107,2
10_8_N_804___,20241114,2
10_8_N_804___,20241121,2
3_9__1__074_,20241101,2
5_9__1__074_,20241101,2
6_9__1__074_,20241101,2
1_9__1_A_015_,20241101,2
1_9__1_B_015_,20241101,2
