service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2_8__480___,1,1,1,1,1,1,1,20241027,20251126
3_8__480___,1,1,1,1,1,1,1,20241027,20251126
5_8__480___,1,1,1,1,1,1,1,20241027,20251126
1_8__480___,1,1,1,1,1,0,0,20241028,20251126
6_8__480___,1,1,1,1,1,1,0,20241028,20251126
7_8__480___,1,1,1,1,1,0,0,20241028,20251126
8_8__480___,1,1,1,1,1,0,0,20241028,20251126
2_8__481___,1,1,1,1,1,1,1,20241027,20251126
3_8__481___,0,0,0,0,1,1,1,20241027,20251124
6_8__481___,1,1,1,1,1,1,1,20241027,20251126
7_8__481___,1,1,1,1,1,1,1,20241027,20251126
9_8__481___,1,1,1,1,1,1,1,20241027,20251126
1_8__481___,1,1,1,1,1,0,0,20241028,20251126
10_8__481___,1,1,1,1,1,1,0,20241028,20251126
11_8__481___,1,1,1,1,1,0,0,20241028,20251126
5_8__481___,1,1,1,1,1,0,0,20241028,20251126
10_8__482___,0,0,0,0,1,0,1,20241027,20251124
2_8__482___,1,1,1,1,1,1,1,20241027,20251126
3_8__482___,0,0,0,0,1,0,1,20241027,20251124
6_8__482___,1,1,1,1,1,1,1,20241027,20251126
1_8__482___,1,1,1,1,1,1,0,20241028,20251126
5_8__482___,1,1,1,1,1,1,0,20241028,20251126
8_8__482___,1,1,1,1,1,0,0,20241028,20251126
9_8__482___,1,1,1,1,1,0,0,20241028,20251126
2_8__483___,1,1,1,1,1,1,1,20241027,20251126
3_8__483___,1,1,1,1,1,1,1,20241027,20251126
5_8__483___,1,1,1,1,1,1,1,20241027,20251126
8_8__483___,1,1,1,1,1,1,1,20241027,20251126
1_8__483___,1,1,1,1,1,0,0,20241028,20251126
10_8__483___,1,1,1,1,1,0,0,20241028,20251126
6_8__483___,1,1,1,1,1,1,0,20241028,20251126
9_8__483___,1,1,1,1,1,0,0,20241028,20251126
1_8__484___,1,1,1,1,1,1,1,20241027,20251126
10_8__484___,1,1,1,1,1,1,1,20241027,20251126
12_8__484___,0,0,0,0,1,1,1,20241027,20251124
2_8__484___,1,1,1,1,1,1,1,20241027,20251126
4_8__484___,1,1,1,1,1,1,1,20241027,20251126
9_8__484___,1,1,1,1,1,1,1,20241027,20251126
11_8__484___,1,1,1,1,1,0,0,20241028,20251126
13_8__484___,1,1,1,1,1,0,0,20241028,20251126
16_8__484___,1,1,1,1,1,0,0,20241028,20251126
17_8__484___,1,1,1,1,1,0,0,20241028,20251126
3_8__484___,1,1,1,1,1,0,0,20241028,20251126
5_8__484___,1,1,1,1,1,0,0,20241028,20251126
6_8__484___,1,1,1,1,1,1,0,20241028,20251126
7_8__484___,1,1,1,1,1,1,0,20241028,20251126
1_8__485___,1,1,1,1,1,1,1,20241027,20251126
2_8__485___,1,1,1,1,1,1,1,20241027,20251126
5_8__485___,1,1,1,1,1,1,1,20241027,20251126
3_8__485___,1,1,1,1,1,0,0,20241028,20251126
4_8__485___,1,1,1,1,1,1,0,20241028,20251126
6_8__485___,1,1,1,1,1,0,0,20241028,20251126
1_8__486___,1,1,1,1,1,1,1,20241027,20251126
3_8__486___,1,1,1,1,1,1,1,20241027,20251126
5_8__486___,0,0,0,0,1,0,1,20241027,20251124
9_8__486___,1,1,1,1,1,1,1,20241027,20251126
10_8__486___,1,1,1,1,1,1,0,20241028,20251126
11_8__486___,1,1,1,1,1,0,0,20241028,20251126
2_8__486___,1,1,1,1,1,0,0,20241028,20251126
4_8__486___,1,1,1,1,1,1,0,20241028,20251126
7_8__486___,1,1,1,1,1,0,0,20241028,20251126
8_8__486___,1,1,1,1,1,0,0,20241028,20251126
6_8__486___,0,0,0,0,0,1,0,20241102,20251123
1_8__487___,0,0,0,0,1,1,1,20241027,20251124
2_8__487___,1,1,1,1,1,1,1,20241027,20251126
3_8__487___,1,1,1,1,1,0,0,20241028,20251126
6_8__487___,1,1,1,1,1,0,0,20241028,20251126
7_8__487___,1,1,1,1,1,0,0,20241028,20251126
4_8__487___,0,0,0,0,0,1,0,20241102,20251123
1_8__488___,1,1,1,1,1,1,1,20241027,20251126
2_8__488___,1,1,1,1,1,1,1,20241027,20251126
4_8__488___,1,1,1,1,1,1,1,20241027,20251126
5_8__488___,1,1,1,1,1,1,1,20241027,20251126
6_8__488___,1,1,1,1,1,1,0,20241028,20251126
7_8__488___,1,1,1,1,1,0,0,20241028,20251126
1_8__491___,1,1,1,1,1,1,1,20241027,20251126
3_8__491___,0,0,0,0,1,1,1,20241027,20251124
5_8__491___,1,1,1,1,1,1,1,20241027,20251126
6_8__491___,0,0,0,0,1,1,1,20241027,20251124
8_8__491___,1,1,1,1,1,1,1,20241027,20251126
9_8__491___,1,1,1,1,1,1,1,20241027,20251126
10_8__491___,1,1,1,1,1,0,0,20241028,20251126
11_8__491___,1,1,1,1,1,0,0,20241028,20251126
2_8__491___,1,1,1,1,1,0,0,20241028,20251126
4_8__491___,1,1,1,1,1,0,0,20241028,20251126
7_8__491___,1,1,1,1,1,1,0,20241028,20251126
1_8__492___,1,1,1,1,1,1,1,20241027,20251126
3_8__492___,0,0,0,0,1,1,1,20241027,20251124
5_8__492___,1,1,1,1,1,1,1,20241027,20251126
6_8__492___,1,1,1,1,1,1,1,20241027,20251126
8_8__492___,1,1,1,1,1,1,1,20241027,20251126
9_8__492___,1,1,1,1,1,1,1,20241027,20251126
10_8__492___,1,1,1,1,1,0,0,20241028,20251126
11_8__492___,1,1,1,1,1,0,0,20241028,20251126
2_8__492___,1,1,1,1,1,0,0,20241028,20251126
4_8__492___,1,1,1,1,1,0,0,20241028,20251126
7_8__492___,0,0,0,0,0,1,0,20241102,20251123
2_8__493___,1,1,1,1,1,1,1,20241027,20251126
3_8__493___,0,0,0,0,1,1,1,20241027,20251124
5_8__493___,1,1,1,1,1,1,1,20241027,20251126
6_8__493___,1,1,1,1,1,1,1,20241027,20251126
1_8__493___,1,1,1,1,1,1,0,20241028,20251126
4_8__493___,1,1,1,1,1,0,0,20241028,20251126
8_8__493___,1,1,1,1,1,0,0,20241028,20251126
9_8__493___,1,1,1,1,1,0,0,20241028,20251126
2_8__495___,1,1,1,1,1,1,1,20241027,20251126
4_8__495___,1,1,1,1,1,1,1,20241027,20251126
5_8__495___,1,1,1,1,1,1,1,20241027,20251126
1_8__495___,1,1,1,1,1,0,0,20241028,20251126
10_8__495___,1,1,1,1,1,0,0,20241028,20251126
11_8__495___,1,1,1,1,1,0,0,20241028,20251126
12_8__495___,1,1,1,1,1,0,0,20241028,20251126
3_8__495___,1,1,1,1,1,0,0,20241028,20251126
6_8__495___,1,1,1,1,1,0,0,20241028,20251126
7_8__495___,1,1,1,1,1,0,0,20241028,20251126
8_8__495___,1,1,1,1,1,0,0,20241028,20251126
9_8__495___,1,1,1,1,1,0,0,20241028,20251126
1_8__496___,1,1,1,1,1,1,1,20241027,20251126
2_8__496___,1,1,1,1,1,1,1,20241027,20251126
3_8__496___,1,1,1,1,1,1,1,20241027,20251126
4_8__496___,1,1,1,1,1,0,0,20241028,20251126
5_8__496___,1,1,1,1,1,0,0,20241028,20251126
1_8__497___,1,1,1,1,1,1,1,20241027,20251126
2_8__497___,1,1,1,1,1,1,1,20241027,20251126
3_8__497___,0,0,0,0,1,1,1,20241027,20251124
4_8__497___,1,1,1,1,1,1,1,20241027,20251126
5_8__497___,1,1,1,1,1,0,0,20241028,20251126
6_8__497___,1,1,1,1,1,0,0,20241028,20251126
7_8__497___,1,1,1,1,1,0,0,20241028,20251126
8_8__497___,1,1,1,1,1,0,0,20241028,20251126
1_8__498___,1,1,1,1,1,1,1,20241027,20251126
2_8__498___,1,1,1,1,1,1,1,20241027,20251126
3_8__498___,1,1,1,1,1,0,0,20241028,20251126
4_8__498___,1,1,1,1,1,0,0,20241028,20251126
10_8__498___,0,0,0,1,1,1,0,20241031,20251123
16_8__498___,0,0,0,1,1,1,0,20241031,20251123
1_8__498_A__,1,1,1,1,1,1,1,20241027,20251126
2_8__498_A__,1,1,1,1,1,1,1,20241027,20251126
3_8__498_A__,0,0,0,0,1,1,1,20241027,20251124
1_8__499___,1,1,1,1,1,1,1,20241027,20251126
2_8__499___,1,1,1,1,1,1,1,20241027,20251126
3_8__499___,1,1,1,1,1,0,0,20241028,20251126
4_8_N_802___,1,1,1,1,1,1,1,20241027,20251126
6_8_N_802___,0,0,0,1,1,1,0,20241031,20251123
1_8_N_803___,1,1,1,1,1,1,1,20241027,20251126
6_8_N_803___,1,1,1,1,1,1,1,20241027,20251126
11_8_N_803___,0,0,0,1,1,1,0,20241031,20251123
2_8_N_803___,0,0,0,1,1,1,0,20241031,20251123
9_8_N_804___,1,1,1,1,1,1,1,20241027,20251126
10_8_N_804___,0,0,0,1,1,1,0,20241031,20251123
8_8_N_808___,1,1,1,1,1,1,1,20241027,20251126
1_9__1__074_,1,1,1,1,1,1,1,20241027,20251126
2_9__1__074_,1,1,1,1,1,1,1,20241027,20251126
4_9__1__074_,1,1,1,1,1,1,1,20241027,20251126
3_9__1__074_,1,1,1,1,1,0,0,20241028,20251126
5_9__1__074_,1,1,1,1,1,1,0,20241028,20251126
6_9__1__074_,1,1,1,1,1,0,0,20241028,20251126
1_9__1_A_015_,1,1,1,1,1,0,0,20241028,20251126
1_9__1_B_015_,1,1,1,1,1,0,0,20241028,20251126
