service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6033_8__827___,0,0,0,0,0,0,1,20241027,20251124
6029_8__827___,1,1,1,1,1,0,0,20241028,20251126
5002_8__827___,0,0,0,1,0,0,0,20241031,20241031
6035_8__827___,0,0,0,0,1,0,0,20241101,20241101
6032_8__827___,0,0,0,0,0,1,0,20241102,20251123
5001_8__827_A__,1,1,1,1,1,0,0,20241028,20251126
4018_8__828___,0,0,0,0,0,0,1,20241027,20251124
4007_8__828___,1,1,1,1,1,0,0,20241028,20251126
4019_8__828___,0,0,0,0,1,0,0,20241101,20241101
4017_8__828___,0,0,0,0,0,1,0,20241102,20251123
1014_9__1__006_,0,0,0,0,0,0,1,20241027,20251124
1011_9__1__006_,1,1,1,1,0,0,0,20241028,20251126
1017_9__1__006_,0,0,0,1,0,0,0,20241031,20241031
1013_9__1__006_,0,0,0,0,0,1,0,20241102,20251123
2004_9__2__006_,1,1,1,1,1,0,0,20241028,20251126
3004_9__3__006_,0,0,0,0,0,0,1,20241027,20251124
3001_9__3__006_,1,1,1,1,0,0,0,20241028,20251126
3005_9__3__006_,0,0,0,1,0,0,0,20241031,20241031
3013_9__3__006_,0,0,0,0,1,0,0,20241101,20241101
3003_9__3__006_,0,0,0,0,0,1,0,20241102,20251123
