route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__827___,6033_8__827___,6033_8__827___-8__827____3_06:00:00_2_A2__1_8__827___,CANILLEJAS-ÁREA INTERMODAL,827 ALCOBENDAS,1,,8__827____2_A2_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_06:00:00_2_A2__1_8__827___,CANILLEJAS-ÁREA INTERMODAL,827 ALCOBENDAS,1,,8__827____2_A2_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_06:45:00_1_nu__1_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_06:45:00_1_nu__1_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_07:00:00_2_A2__2_8__827___,CANILLEJAS-ÁREA INTERMODAL,827 ALCOBENDAS,1,,8__827____2_A2_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_07:00:00_2_A2__2_8__827___,CANILLEJAS-ÁREA INTERMODAL,827 ALCOBENDAS,1,,8__827____2_A2_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_07:25:00_2_nu__3_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_07:25:00_2_nu__3_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_07:45:00_1_nu__2_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_07:45:00_1_nu__2_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_08:25:00_2_nu__4_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_08:25:00_2_nu__4_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_08:45:00_1_nu__3_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_08:45:00_1_nu__3_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_09:25:00_2_nu__5_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_09:25:00_2_nu__5_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_09:45:00_1_nu__4_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_09:45:00_1_nu__4_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_10:25:00_2_nu__6_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_10:25:00_2_nu__6_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_10:50:00_1_nu__5_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_10:50:00_1_nu__5_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_11:30:00_2_nu__7_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_11:30:00_2_nu__7_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_11:50:00_1_nu__6_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_11:50:00_1_nu__6_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_12:30:00_2_nu__8_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_12:30:00_2_nu__8_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_12:55:00_1_nu__7_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_12:55:00_1_nu__7_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_13:35:00_2_nu__9_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_13:35:00_2_nu__9_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_13:55:00_1_nu__8_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_13:55:00_1_nu__8_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_14:35:00_2_nu__10_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_14:35:00_2_nu__10_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_15:00:00_1_nu__9_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_15:00:00_1_nu__9_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_15:40:00_2_nu__11_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_15:40:00_2_nu__11_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_16:00:00_1_nu__10_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6035_8__827___,6035_8__827___-8__827____3_16:00:00_1_nu__10_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6033_8__827___,6033_8__827___-8__827____3_16:40:00_2_nu__12_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
