route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__712___,9999_8__712___,9999_8__712___-8__712____3_07:00:00_1_-__1_8__712___,AV.ESPAÑA-AV.MADRID,712 TRES CANTOS (Por Avda. Encuartes),0,,8__712____1_-_IT_1,0
8__712___,9999_8__712___,9999_8__712___-8__712____3_07:45:00_2_-__2_8__712___,INTERCAMBIADOR DE PLAZA CASTILLA,712 MADRID (Pza. Castilla),1,,8__712____2_-_IT_1,0
8__712___,9999_8__712___,9999_8__712___-8__712____3_08:30:00_1_-__3_8__712___,AV.ESPAÑA-AV.MADRID,712 TRES CANTOS (Por Avda. Encuartes),0,,8__712____1_-_IT_1,0
8__712___,9999_8__712___,9999_8__712___-8__712____3_09:15:00_2_-__4_8__712___,INTERCAMBIADOR DE PLAZA CASTILLA,712 MADRID (Pza. Castilla),1,,8__712____2_-_IT_1,0
8__712___,9999_8__712___,9999_8__712___-8__712____3_10:00:00_1_-__5_8__712___,AV.ESPAÑA-AV.MADRID,712 TRES CANTOS (Por Avda. Encuartes),0,,8__712____1_-_IT_1,0
8__712___,9999_8__712___,9999_8__712___-8__712____3_10:45:00_2_-__6_8__712___,INTERCAMBIADOR DE PLAZA CASTILLA,712 MADRID (Pza. Castilla),1,,8__712____2_-_IT_1,0
8__712___,9999_8__712___,9999_8__712___-8__712____3_11:30:00_1_-__7_8__712___,AV.ESPAÑA-AV.MADRID,712 TRES CANTOS (Por Avda. Encuartes),0,,8__712____1_-_IT_1,0
8__712___,9999_8__712___,9999_8__712___-8__712____3_12:15:00_2_-__8_8__712___,INTERCAMBIADOR DE PLAZA CASTILLA,712 MADRID (Pza. Castilla),1,,8__712____2_-_IT_1,0
8__712___,9999_8__712___,9999_8__712___-8__712____3_13:00:00_1_-__9_8__712___,AV.ESPAÑA-AV.MADRID,712 TRES CANTOS (Por Avda. Encuartes),0,,8__712____1_-_IT_1,0
8__712___,9999_8__712___,9999_8__712___-8__712____3_13:45:00_2_-__10_8__712___,INTERCAMBIADOR DE PLAZA CASTILLA,712 MADRID (Pza. Castilla),1,,8__712____2_-_IT_1,0
