service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9999_8__712___,1,1,1,1,1,1,1,20241027,20251127
9999_8__713___,1,1,1,1,1,1,1,20241027,20251127
9999_8__714___,1,1,1,1,1,1,0,20241028,20251127
9999_8__716___,1,1,1,1,1,1,1,20241027,20251127
9999_8__717___,1,1,1,1,1,0,0,20241028,20251127
9999_8_N_701___,1,1,1,1,1,1,1,20241027,20251127
9999_9__1__903_,1,1,1,1,1,0,0,20241028,20251127
9999_9__2__903_,1,1,1,1,1,0,0,20241028,20251127
9999_9__3__903_,1,1,1,1,1,1,1,20241027,20251127
9999_9__4__903_,1,1,1,1,1,0,0,20241028,20251127
9999_9__5__903_,0,0,0,0,1,1,1,20241027,20251124
