service_id,date,exception_type
426/427_8__411___,20241122,2
428/429_8__411___,20241108,2
428/429_8__411___,20241115,2
428/429_8__411___,20241122,2
423/4/5_8__411___,20241108,2
423/4/5_8__411___,20241115,2
423/4/5_8__411___,20241122,2
412T13_8__412___,20241101,2
412T01_8__412___,20241108,2
412T01_8__412___,20241115,2
412T01_8__412___,20241122,2
412T05_8__412___,20241106,2
412T05_8__412___,20241107,2
412T05_8__412___,20241108,2
412T05_8__412___,20241113,2
412T05_8__412___,20241114,2
412T05_8__412___,20241115,2
412T05_8__412___,20241120,2
412T05_8__412___,20241121,2
412T05_8__412___,20241122,2
412T17_8__412___,20241101,2
412T18_8__412___,20241101,2
412T19_8__412___,20241101,2
412T20_8__412___,20241101,2
412T14_8__412___,20241101,2
412T14_8__412___,20241109,2
412T15_8__412___,20241101,2
412T15_8__412___,20241109,2
412T16_8__412___,20241101,2
412T08_8__412___,20241101,2
412T10_8__412___,20241101,2
412T10_8__412___,20241109,2
412T11_8__412___,20241101,2
412T11_8__412___,20241109,2
412T10_8__413___,20241106,2
412T10_8__413___,20241107,2
412T10_8__413___,20241108,2
412T10_8__413___,20241113,2
412T10_8__413___,20241114,2
412T10_8__413___,20241115,2
412T10_8__413___,20241120,2
412T10_8__413___,20241121,2
412T10_8__413___,20241122,2
412T12_8__413___,20241106,2
412T12_8__413___,20241107,2
412T12_8__413___,20241108,2
412T12_8__413___,20241113,2
412T12_8__413___,20241114,2
412T12_8__413___,20241115,2
412T12_8__413___,20241120,2
412T12_8__413___,20241121,2
412T12_8__413___,20241122,2
412T11_8__413___,20241108,2
412T11_8__413___,20241115,2
412T11_8__413___,20241122,2
412T02_8__413___,20241102,2
412T02_8__413___,20241116,2
412T02_8__413___,20241123,2
412T08_8__413___,20241106,2
412T08_8__413___,20241107,2
412T08_8__413___,20241108,2
412T08_8__413___,20241113,2
412T08_8__413___,20241114,2
412T08_8__413___,20241115,2
412T08_8__413___,20241120,2
412T08_8__413___,20241121,2
412T08_8__413___,20241122,2
412T01_8__413___,20241101,2
412T14_8__413___,20241101,2
412T14_8__413___,20241109,2
412T06_8__413___,20241030,2
412T06_8__413___,20241031,2
412T06_8__413___,20241101,2
412T19_8__413___,20241030,2
412T19_8__413___,20241031,2
412T19_8__413___,20241101,2
412T13_8__413___,20241109,2
412T05_8__413___,20241109,2
412T09_8__413___,20241109,2
412T04_8__414___,20241102,2
412T04_8__414___,20241116,2
412T04_8__414___,20241123,2
412T13_8__414___,20241102,2
412T13_8__414___,20241116,2
412T13_8__414___,20241123,2
412T05_8__414___,20241102,2
412T05_8__414___,20241116,2
412T05_8__414___,20241123,2
412T07_8__414___,20241109,2
412T08_8__414___,20241109,2
412T15_8__414___,20241109,2
337T09_8__415___,20241108,2
337T09_8__415___,20241115,2
337T09_8__415___,20241122,2
337T10_8__415___,20241102,2
337T10_8__415___,20241116,2
337T10_8__415___,20241123,2
337T19_8__415___,20241101,2
337T23_8__415___,20241101,2
337T21_8__415___,20241101,2
337T22_8__415___,20241101,2
337T13_8__415___,20241109,2
337T08_8__416___,20241102,2
337T08_8__416___,20241116,2
337T08_8__416___,20241123,2
337T11_8__416___,20241108,2
337T11_8__416___,20241115,2
337T11_8__416___,20241122,2
412T20_8__416___,20241030,2
412T20_8__416___,20241031,2
412T20_8__416___,20241101,2
336T03_8__416___,20241101,2
337T14_8__416___,20241101,2
412T13_8__416___,20241030,2
412T13_8__416___,20241031,2
412T13_8__416___,20241101,2
412T15_8__416___,20241030,2
412T15_8__416___,20241031,2
412T15_8__416___,20241101,2
337T20_8__416___,20241101,2
337T21_8__416___,20241101,2
337T15_8__416___,20241109,2
127_8_N_301___,20241108,2
127_8_N_301___,20241115,2
127_8_N_301___,20241122,2
514_8_N_301___,20241101,2
114/5/6_8_N_301___,20241101,2
322_8_N_301___,20241108,2
322_8_N_301___,20241115,2
322_8_N_301___,20241122,2
525_8_N_302___,20241108,2
525_8_N_302___,20241115,2
525_8_N_302___,20241122,2
508_8_N_302___,20241101,2
412T09_8_N_403___,20241102,2
412T09_8_N_403___,20241116,2
412T09_8_N_403___,20241123,2
412T18_8_N_403___,20241030,2
412T18_8_N_403___,20241031,2
412T18_8_N_403___,20241101,2
412T06_8_N_403___,20241107,2
412T06_8_N_403___,20241109,2
412T06_8_N_403___,20241114,2
412T06_8_N_403___,20241121,2
C121/122_9__1__123_,20241108,2
C121/122_9__1__123_,20241115,2
C121/122_9__1__123_,20241122,2
C125/126_9__1__123_,20241108,2
C125/126_9__1__123_,20241115,2
C125/126_9__1__123_,20241122,2
C123/124_9__1__123_,20241108,2
C123/124_9__1__123_,20241115,2
C123/124_9__1__123_,20241122,2
212_9__1__123_,20241101,2
336T01_9__1__123_,20241031,2
336T01_9__1__123_,20241101,2
337T25_9__1__123_,20241101,2
C101/102_9__1__123_,20241101,2
C107/108_9__1__123_,20241101,2
TM3_9__1__123_,20241101,2
C103/104_9__1__123_,20241101,2
C105/106_9__1__123_,20241101,2
412T13_9__1__132_,20241030,2
412T13_9__1__132_,20241031,2
412T13_9__1__132_,20241101,2
412T15_9__1__132_,20241030,2
412T15_9__1__132_,20241031,2
412T15_9__1__132_,20241101,2
412T16_9__1__132_,20241030,2
412T16_9__1__132_,20241031,2
412T16_9__1__132_,20241101,2
412T05_9__1__132_,20241030,2
412T05_9__1__132_,20241031,2
412T05_9__1__132_,20241101,2
412T07_9__1__132_,20241101,2
412T05_9_i_1__132_,20241030,2
412T05_9_i_1__132_,20241031,2
412T05_9_i_1__132_,20241101,2
412T06_9_i_1__132_,20241030,2
412T06_9_i_1__132_,20241031,2
412T06_9_i_1__132_,20241101,2
412T16_9_i_1__132_,20241030,2
412T16_9_i_1__132_,20241031,2
412T16_9_i_1__132_,20241101,2
