service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
621/622_8__330___,0,0,0,0,1,1,1,20241027,20251124
623/624_8__330___,0,0,0,0,1,1,1,20241027,20251124
336T05_8__330___,1,1,1,1,1,0,0,20241028,20251127
336T06_8__330___,1,1,1,1,1,0,0,20241028,20251127
337T26_8__330___,1,1,1,1,1,0,0,20241028,20251127
601/602_8__330___,1,1,1,1,1,0,0,20241028,20251127
603/604_8__330___,1,1,1,1,1,0,0,20241028,20251127
605_8__330___,1,1,1,1,1,0,0,20241028,20251127
336T01_8__330___,1,1,1,1,1,0,0,20241028,20251127
336T03_8__330___,1,1,1,1,1,0,0,20241028,20251127
336T04_8__330___,1,1,1,1,1,0,0,20241028,20251127
125/126_8__331___,0,0,0,0,1,1,1,20241027,20251124
322_8__331___,0,0,0,0,1,1,1,20241027,20251124
226/227_8__331___,0,0,0,0,1,1,1,20241027,20251124
121/122_8__331___,0,0,0,0,1,1,1,20241027,20251124
123/4/2_8__331___,0,0,0,0,1,1,1,20241027,20251124
114/5/6_8__331___,1,1,1,1,1,0,0,20241028,20251127
115_8__331___,1,1,1,1,1,0,0,20241028,20251127
117_8__331___,1,1,1,1,1,0,0,20241028,20251127
336T03_8__331___,1,1,1,1,1,0,0,20241028,20251127
337T18_8__331___,1,1,1,1,1,0,0,20241028,20251127
TM2_8__331___,1,1,1,1,1,0,0,20241028,20251127
109/110_8__331___,1,1,1,1,1,0,0,20241028,20251127
111/112_8__331___,1,1,1,1,1,0,0,20241028,20251127
113_8__331___,1,1,1,1,1,0,0,20241028,20251127
101/102_8__331___,1,1,1,1,1,0,0,20241028,20251127
103/104_8__331___,1,1,1,1,1,0,0,20241028,20251127
105/106_8__331___,1,1,1,1,1,0,0,20241028,20251127
107/108_8__331___,1,1,1,1,1,0,0,20241028,20251127
228_8__332___,0,0,0,0,1,1,1,20241027,20251124
623/624_8__332___,0,0,0,0,1,1,1,20241027,20251124
221/22/3_8__332___,0,0,0,0,1,1,1,20241027,20251124
222bis_8__332___,0,0,0,0,1,1,1,20241027,20251124
224/225_8__332___,0,0,0,0,1,1,1,20241027,20251124
226/227_8__332___,0,0,0,0,1,1,1,20241027,20251124
114/5/6_8__332___,1,1,1,1,1,0,0,20241028,20251127
201_8__332___,1,1,1,1,1,0,0,20241028,20251127
202/203_8__332___,1,1,1,1,1,0,0,20241028,20251127
210/211_8__332___,1,1,1,1,1,0,0,20241028,20251127
212_8__332___,1,1,1,1,1,0,0,20241028,20251127
213/214_8__332___,1,1,1,1,1,0,0,20241028,20251127
215_8__332___,1,1,1,1,1,0,0,20241028,20251127
503/4/5_8__332___,1,1,1,1,1,0,0,20241028,20251127
C101/102_8__332___,1,1,1,1,1,0,0,20241028,20251127
204/205_8__332___,1,1,1,1,1,0,0,20241028,20251127
206/207_8__332___,1,1,1,1,1,0,0,20241028,20251127
208/209_8__332___,1,1,1,1,1,0,0,20241028,20251127
721/2/3_8__333___,0,0,0,0,0,0,1,20241027,20251124
327/328_8__333___,0,0,0,0,1,1,1,20241027,20251124
127_8__333___,0,0,0,0,1,1,1,20241027,20251124
321/2/3_8__333___,0,0,0,0,1,1,1,20241027,20251124
324/5_8__333___,0,0,0,0,1,1,1,20241027,20251124
326_8__333___,0,0,0,0,1,1,1,20241027,20251124
312_8__333___,1,1,1,1,1,0,0,20241028,20251127
313_8__333___,1,1,1,1,1,0,0,20241028,20251127
314/315_8__333___,1,1,1,1,1,0,0,20241028,20251127
316/317_8__333___,1,1,1,1,1,0,0,20241028,20251127
318_8__333___,1,1,1,1,1,0,0,20241028,20251127
412T11_8__333___,1,1,1,1,1,0,0,20241028,20251127
117_8__333___,1,1,1,1,1,0,0,20241028,20251127
301/302_8__333___,1,1,1,1,1,0,0,20241028,20251127
303/304_8__333___,1,1,1,1,1,0,0,20241028,20251127
305/306_8__333___,1,1,1,1,1,0,0,20241028,20251127
307_8__333___,1,1,1,1,1,0,0,20241028,20251127
308_8__333___,1,1,1,1,1,0,0,20241028,20251127
309/310_8__333___,1,1,1,1,1,0,0,20241028,20251127
311/312_8__333___,1,1,1,1,1,0,0,20241028,20251127
412T05_8__333___,0,0,1,1,0,0,0,20241030,20251031
526/527_8__334___,0,0,0,0,1,1,1,20241027,20251124
623/624_8__334___,0,0,0,0,1,1,1,20241027,20251124
326_8__334___,0,0,0,0,1,1,1,20241027,20251124
521/522_8__334___,0,0,0,0,1,1,1,20241027,20251124
523/524_8__334___,0,0,0,0,1,1,1,20241027,20251124
525_8__334___,0,0,0,0,1,1,1,20241027,20251124
515/516_8__334___,1,1,1,1,1,0,0,20241028,20251127
517/518_8__334___,1,1,1,1,1,0,0,20241028,20251127
519_8__334___,1,1,1,1,1,0,0,20241028,20251127
115_8__334___,1,1,1,1,1,0,0,20241028,20251127
210/211_8__334___,1,1,1,1,1,0,0,20241028,20251127
215_8__334___,1,1,1,1,1,0,0,20241028,20251127
501/502_8__334___,1,1,1,1,1,0,0,20241028,20251127
503/4/5_8__334___,1,1,1,1,1,0,0,20241028,20251127
