route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_07:00:00_1_-__1_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_08:15:00_2_-__2_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_09:30:00_1_-__3_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_10:45:00_2_-__4_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_12:00:00_1_-__5_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_13:15:00_2_-__6_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_14:30:00_1_-__7_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_15:45:00_2_-__8_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_17:00:00_1_-__9_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_18:15:00_2_-__10_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_19:30:00_1_-__11_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,621/622_8__330___,621/622_8__330___-8__330____3_20:45:00_2_-__12_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_08:15:00_1_-__3_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_09:30:00_2_-__4_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_10:45:00_1_-__7_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_12:00:00_2_-__8_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_13:15:00_1_-__11_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_14:30:00_2_-__12_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_15:45:00_1_-__15_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_17:00:00_2_-__16_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_18:15:00_1_-__19_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_19:30:00_2_-__20_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_20:45:00_1_-__23_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,623/624_8__330___,623/624_8__330___-8__330____3_22:00:00_2_-__24_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,336T05_8__330___,336T05_8__330___-8__336____1_12:15:00_2_-__8_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,336T05_8__330___,336T05_8__330___-8__336____1_12:35:00_1_-__8_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ISLA TARAY - PERALES - MORATA,0,,8__330____1_mip_IT_2,0
8__330___,336T05_8__330___,336T05_8__330___-8__336____1_13:20:00_1_-__9_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ISLA TARAY - PERALES - MORATA,0,,8__330____1_mip_IT_2,0
8__330___,336T06_8__330___,336T06_8__330___-8__336____1_09:25:00_1_-__5_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ISLA TARAY - PERALES - MORATA,0,,8__330____1_mip_IT_2,0
8__330___,336T03_8__330___,336T03_8__330___-8__336____1_09:25:00_1_-__5_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ISLA TARAY - PERALES - MORATA,0,,8__330____1_mip_IT_2,0
8__330___,336T06_8__330___,336T06_8__330___-8__336____1_10:00:00_2_-__4_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,336T06_8__330___,336T06_8__330___-8__336____1_11:10:00_1_-__5_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,336T06_8__330___,336T06_8__330___-8__336____1_12:35:00_1_-__9_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ISLA TARAY - PERALES - MORATA,0,,8__330____1_mip_IT_2,0
8__330___,336T06_8__330___,336T06_8__330___-8__336____1_08:30:00_1_-__2_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_07:20:00_1_-__2_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_08:40:00_2_-__4_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_10:00:00_1_-__6_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_11:15:00_2_-__8_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_12:30:00_1_-__10_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_13:45:00_2_-__12_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_15:00:00_1_-__14_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_16:45:00_2_-__16_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_18:30:00_1_-__18_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_20:30:00_2_-__23_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_21:45:00_1_-__25_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,603/604_8__330___,603/604_8__330___-8__330____1_22:45:00_2_-__26_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,605_8__330___,605_8__330___-8__330____1_13:30:00_1_-__12_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,605_8__330___,605_8__330___-8__330____1_14:45:00_1_-__15_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ISLA TARAY - PERALES - MORATA,0,,8__330____1_mip_IT_2,0
8__330___,605_8__330___,605_8__330___-8__330____1_15:10:00_2_-__17_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,605_8__330___,605_8__330___-8__330____1_16:30:00_1_-__21_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,605_8__330___,605_8__330___-8__330____1_18:00:00_2_-__23_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,605_8__330___,605_8__330___-8__330____1_19:30:00_1_-__26_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,605_8__330___,605_8__330___-8__330____1_21:15:00_2_-__31_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,337T26_8__330___,337T26_8__330___-8__337____1_13:20:00_1_-__1_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ISLA TARAY - PERALES - MORATA,0,,8__330____1_mip_IT_2,0
8__330___,601/602_8__330___,601/602_8__330___-8__330____1_06:30:00_1_-__1_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,601/602_8__330___,601/602_8__330___-8__330____1_07:50:00_2_-__2_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,601/602_8__330___,601/602_8__330___-8__330____1_09:15:00_1_-__3_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
8__330___,601/602_8__330___,601/602_8__330___-8__330____1_10:45:00_2_-__4_8__330___,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,330 ARGANDA (Hospital) - RIVAS,1,,8__330____2_-_IT_1,0
8__330___,601/602_8__330___,601/602_8__330___-8__330____1_12:00:00_1_-__5_8__330___,DOMINGO RODELGO-CARRERA MEDIODÍA,330 ARGANDA (Hospital) - MORATA DE TAJUÑA,0,,8__330____1_-_IT_1,0
