service_id,date,exception_type
1263256_8__280___,20241031,2
1263252_8__280___,20241031,2
1263254_8__280___,20241031,2
1263253_8__280___,20241031,2
1263255_8__280___,20241031,2
1263993_8__280___,20241107,2
1263996_8__280___,20241107,2
1263997_8__280___,20241107,2
1263994_8__280___,20241107,2
1263995_8__280___,20241107,2
1263630_8__280___,20241109,2
1263629_8__280___,20241109,2
1263273_8__281___,20241031,2
1263275_8__281___,20241031,2
1263279_8__281___,20241031,2
1263281_8__281___,20241031,2
1263282_8__281___,20241031,2
1263258_8__281___,20241031,2
1263259_8__281___,20241031,2
1263260_8__281___,20241031,2
1263278_8__281___,20241031,2
1263257_8__281___,20241031,2
1263265_8__281___,20241031,2
1263276_8__281___,20241031,2
1263261_8__281___,20241031,2
1263262_8__281___,20241031,2
1263269_8__281___,20241031,2
1263274_8__281___,20241031,2
1263271_8__281___,20241031,2
1263272_8__281___,20241031,2
1263263_8__281___,20241031,2
1263264_8__281___,20241031,2
1263266_8__281___,20241031,2
1263270_8__281___,20241031,2
1263267_8__281___,20241031,2
1263280_8__281___,20241031,2
1263268_8__281___,20241031,2
1263277_8__281___,20241031,2
1264004_8__281___,20241107,2
1264005_8__281___,20241107,2
1263999_8__281___,20241107,2
1264014_8__281___,20241107,2
1264007_8__281___,20241107,2
1264008_8__281___,20241107,2
1264015_8__281___,20241107,2
1264016_8__281___,20241107,2
1264022_8__281___,20241107,2
1263998_8__281___,20241107,2
1264001_8__281___,20241107,2
1264020_8__281___,20241107,2
1264003_8__281___,20241107,2
1264006_8__281___,20241107,2
1264009_8__281___,20241107,2
1264002_8__281___,20241107,2
1264012_8__281___,20241107,2
1264013_8__281___,20241107,2
1264017_8__281___,20241107,2
1264000_8__281___,20241107,2
1264010_8__281___,20241107,2
1264011_8__281___,20241107,2
1264018_8__281___,20241107,2
1264021_8__281___,20241107,2
1264023_8__281___,20241107,2
1264019_8__281___,20241107,2
1263631_8__281___,20241109,2
1263638_8__281___,20241109,2
1263632_8__281___,20241109,2
1263639_8__281___,20241109,2
1263634_8__281___,20241109,2
1263635_8__281___,20241109,2
1263636_8__281___,20241109,2
1263633_8__281___,20241109,2
1263637_8__281___,20241109,2
1263284_8__282___,20241031,2
1263287_8__282___,20241031,2
1263302_8__282___,20241031,2
1263289_8__282___,20241031,2
1263292_8__282___,20241031,2
1263294_8__282___,20241031,2
1263303_8__282___,20241031,2
1263296_8__282___,20241031,2
1263299_8__282___,20241031,2
1263300_8__282___,20241031,2
1263283_8__282___,20241031,2
1263286_8__282___,20241031,2
1263288_8__282___,20241031,2
1263291_8__282___,20241031,2
1263293_8__282___,20241031,2
1263301_8__282___,20241031,2
1263304_8__282___,20241031,2
1263285_8__282___,20241031,2
1263290_8__282___,20241031,2
1263298_8__282___,20241031,2
1263295_8__282___,20241031,2
1263297_8__282___,20241031,2
1264024_8__282___,20241107,2
1264028_8__282___,20241107,2
1264029_8__282___,20241107,2
1264040_8__282___,20241107,2
1264041_8__282___,20241107,2
1264030_8__282___,20241107,2
1264034_8__282___,20241107,2
1264035_8__282___,20241107,2
1264039_8__282___,20241107,2
1264042_8__282___,20241107,2
1264043_8__282___,20241107,2
1264027_8__282___,20241107,2
1264033_8__282___,20241107,2
1264025_8__282___,20241107,2
1264026_8__282___,20241107,2
1264031_8__282___,20241107,2
1264044_8__282___,20241107,2
1264045_8__282___,20241107,2
1264046_8__282___,20241107,2
1264037_8__282___,20241107,2
1264032_8__282___,20241107,2
1264036_8__282___,20241107,2
1264038_8__282___,20241107,2
1263641_8__282___,20241109,2
1263642_8__282___,20241109,2
1263640_8__282___,20241109,2
1263649_8__282___,20241109,2
1263646_8__282___,20241109,2
1263647_8__282___,20241109,2
1263648_8__282___,20241109,2
1263644_8__282___,20241109,2
1263645_8__282___,20241109,2
1263643_8__282___,20241109,2
1263650_8__282___,20241109,2
1263311_8__283___,20241031,2
1263314_8__283___,20241031,2
1263306_8__283___,20241031,2
1263310_8__283___,20241031,2
1263305_8__283___,20241031,2
1263307_8__283___,20241031,2
1263312_8__283___,20241031,2
1263313_8__283___,20241031,2
1263316_8__283___,20241031,2
1263309_8__283___,20241031,2
1263315_8__283___,20241031,2
1263308_8__283___,20241031,2
1264052_8__283___,20241107,2
1264048_8__283___,20241107,2
1264049_8__283___,20241107,2
1264050_8__283___,20241107,2
1264054_8__283___,20241107,2
1264047_8__283___,20241107,2
1264051_8__283___,20241107,2
1264058_8__283___,20241107,2
1264053_8__283___,20241107,2
1264055_8__283___,20241107,2
1264057_8__283___,20241107,2
1264056_8__283___,20241107,2
1263320_8__284___,20241031,2
1263317_8__284___,20241031,2
1263319_8__284___,20241031,2
1263318_8__284___,20241031,2
1264059_8__284___,20241107,2
1264061_8__284___,20241107,2
1264060_8__284___,20241107,2
1264062_8__284___,20241107,2
1263652_8__284___,20241109,2
1263651_8__284___,20241109,2
1263322_8__285___,20241031,2
1263323_8__285___,20241031,2
1263324_8__285___,20241031,2
1263321_8__285___,20241031,2
1263325_8__285___,20241031,2
1264065_8__285___,20241107,2
1264064_8__285___,20241107,2
1264067_8__285___,20241107,2
1264066_8__285___,20241107,2
1264063_8__285___,20241107,2
1263653_8__285___,20241109,2
1263654_8__285___,20241109,2
1263338_8__286___,20241031,2
1263327_8__286___,20241031,2
1263331_8__286___,20241031,2
1263333_8__286___,20241031,2
1263339_8__286___,20241031,2
1263343_8__286___,20241031,2
1263346_8__286___,20241031,2
1263329_8__286___,20241031,2
1263342_8__286___,20241031,2
1263345_8__286___,20241031,2
1263332_8__286___,20241031,2
1263336_8__286___,20241031,2
1263337_8__286___,20241031,2
1263340_8__286___,20241031,2
1263326_8__286___,20241031,2
1263328_8__286___,20241031,2
1263334_8__286___,20241031,2
1263341_8__286___,20241031,2
1263344_8__286___,20241031,2
1263330_8__286___,20241031,2
1263335_8__286___,20241031,2
1264078_8__286___,20241107,2
1264088_8__286___,20241107,2
1264079_8__286___,20241107,2
1264080_8__286___,20241107,2
1264086_8__286___,20241107,2
1264071_8__286___,20241107,2
1264075_8__286___,20241107,2
1264085_8__286___,20241107,2
1264068_8__286___,20241107,2
1264077_8__286___,20241107,2
1264073_8__286___,20241107,2
1264081_8__286___,20241107,2
1264083_8__286___,20241107,2
1264069_8__286___,20241107,2
1264070_8__286___,20241107,2
1264072_8__286___,20241107,2
1264074_8__286___,20241107,2
1264076_8__286___,20241107,2
1264082_8__286___,20241107,2
1264084_8__286___,20241107,2
1264087_8__286___,20241107,2
1263663_8__286___,20241109,2
1263658_8__286___,20241109,2
1263662_8__286___,20241109,2
1263659_8__286___,20241109,2
1263660_8__286___,20241109,2
1263655_8__286___,20241109,2
1263661_8__286___,20241109,2
1263657_8__286___,20241109,2
1263656_8__286___,20241109,2
1263664_8__286___,20241109,2
1263350_8__287___,20241031,2
1263359_8__287___,20241031,2
1263360_8__287___,20241031,2
1263356_8__287___,20241031,2
1263357_8__287___,20241031,2
1263354_8__287___,20241031,2
1263355_8__287___,20241031,2
1263358_8__287___,20241031,2
1263347_8__287___,20241031,2
1263348_8__287___,20241031,2
1263351_8__287___,20241031,2
1263361_8__287___,20241031,2
1263349_8__287___,20241031,2
1263352_8__287___,20241031,2
1263353_8__287___,20241031,2
1264100_8__287___,20241107,2
1264097_8__287___,20241107,2
1264102_8__287___,20241107,2
1264092_8__287___,20241107,2
1264093_8__287___,20241107,2
1264094_8__287___,20241107,2
1264091_8__287___,20241107,2
