route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__280___,1267471_8__280___,1267471_8__280___-9255814,PZA.VILLA-AYUNTAMIENTO,280 HOSPITAL-LOECHES,0,,8__280____1_-_IT_1,0
8__280___,1267471_8__280___,1267471_8__280___-9255815,AV.ESPAÑA-ZOCO COSLADA,280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_-_IT_1,0
8__280___,1267471_8__280___,1267471_8__280___-9255816,PZA.VILLA-AYUNTAMIENTO,280 HOSPITAL-LOECHES,0,,8__280____1_-_IT_1,0
8__280___,1267471_8__280___,1267471_8__280___-9255817,AV.ESPAÑA-ZOCO COSLADA,280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_-_IT_1,0
8__280___,1267471_8__280___,1267471_8__280___-9255818,PZA.VILLA-AYUNTAMIENTO,280 HOSPITAL-LOECHES,0,,8__280____1_-_IT_1,0
8__280___,1267471_8__280___,1267471_8__280___-9255819,AV.ESPAÑA-ZOCO COSLADA,280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_-_IT_1,0
8__280___,1267471_8__280___,1267471_8__280___-9255820,PZA.VILLA-AYUNTAMIENTO,280 HOSPITAL-LOECHES,0,,8__280____1_-_IT_1,0
8__280___,1267471_8__280___,1267471_8__280___-9255821,AV.ESPAÑA-ZOCO COSLADA,280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_-_IT_1,0
8__280___,1267472_8__280___,1267472_8__280___-9256241,PZA.VILLA-AYUNTAMIENTO,280 HOSPITAL-LOECHES,0,,8__280____1_-_IT_1,0
8__280___,1267472_8__280___,1267472_8__280___-9256286,AV.ESPAÑA-ZOCO COSLADA,280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_-_IT_1,0
8__280___,1267472_8__280___,1267472_8__280___-9256287,PZA.VILLA-AYUNTAMIENTO,280 HOSPITAL-LOECHES,0,,8__280____1_-_IT_1,0
8__280___,1267472_8__280___,1267472_8__280___-9256288,AV.ESPAÑA-ZOCO COSLADA,280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_-_IT_1,0
8__280___,1267472_8__280___,1267472_8__280___-9256289,PZA.VILLA-AYUNTAMIENTO,280 HOSPITAL-LOECHES,0,,8__280____1_-_IT_1,0
8__280___,1267472_8__280___,1267472_8__280___-9256290,AV.ESPAÑA-ZOCO COSLADA,280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_-_IT_1,0
