service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
630_8__630___,1,1,1,1,1,1,1,20241027,20251126
631_8__631___,1,1,1,1,1,1,1,20241027,20251126
632_8__632___,1,1,1,1,1,1,1,20241027,20251126
633_8__633___,1,1,1,1,1,1,1,20241027,20251126
634_8__634___,1,1,1,1,1,1,1,20241027,20251126
635_8__635___,1,1,1,1,1,1,1,20241027,20251126
904_8_N_904___,1,1,1,1,1,1,1,20241027,20251126
1_9__1__152_,1,1,1,1,1,1,1,20241027,20251126
2_9__2__152_,1,1,1,1,1,1,1,20241027,20251126
4_9__4__152_,1,1,1,1,1,1,1,20241027,20251126
5_9__5__152_,1,1,1,1,1,1,1,20241027,20251126
