trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_18074,0,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_3253,1,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_3261,2,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_06686,3,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_06687,4,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_06689,5,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_06691,6,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_06692,7,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_15392,8,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_12820,9,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_12217,10,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_12218,11,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_12421,12,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_11402,13,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_17474,14,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_16437,15,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_06694,16,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_06695,17,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_06697,18,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_06698,19,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_06700,20,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_12841,21,,,,
9999_8__171___-8__171____3_16:00:00_1_-__10_8__171___,17:00:00,17:00:00,par_8_06709,22,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_18074,0,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_3253,1,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_3261,2,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_06686,3,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_06687,4,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_06689,5,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_06691,6,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_06692,7,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_15392,8,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_12820,9,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_12217,10,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_12218,11,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_12421,12,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_11402,13,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_17474,14,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_16437,15,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_06694,16,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_06695,17,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_06697,18,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_06698,19,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_06700,20,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_12841,21,,,,
9999_8__171___-8__171____3_18:00:00_1_-__12_8__171___,19:00:00,19:00:00,par_8_06709,22,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,20:50:00,20:50:00,par_8_18074,0,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,20:52:41,20:52:41,par_8_3253,1,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,20:57:23,20:57:23,par_8_3261,2,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,20:58:25,20:58:25,par_8_06686,3,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,20:59:14,20:59:14,par_8_06687,4,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:03:38,21:03:38,par_8_06689,5,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:07:20,21:07:20,par_8_06691,6,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:08:05,21:08:05,par_8_06692,7,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:11:09,21:11:09,par_8_15392,8,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:11:43,21:11:43,par_8_12820,9,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:12:18,21:12:18,par_8_12217,10,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:13:00,21:13:00,par_8_12218,11,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:14:12,21:14:12,par_8_12421,12,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:14:59,21:14:59,par_8_11402,13,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:15:44,21:15:44,par_8_17474,14,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:17:32,21:17:32,par_8_16437,15,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:18:20,21:18:20,par_8_06694,16,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:20:26,21:20:26,par_8_06695,17,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:23:55,21:23:55,par_8_06697,18,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:25:34,21:25:34,par_8_06698,19,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:28:32,21:28:32,par_8_06700,20,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:32:21,21:32:21,par_8_12841,21,,,,
9999_8__171___-8__171____3_19:50:00_1_-__14_8__171___,21:34:00,21:34:00,par_8_06709,22,,,,
9999_8__171___-8__171____3_22:00:00_1_cs__17_8__171___,23:00:00,23:00:00,par_8_18074,0,,,,
9999_8__171___-8__171____3_22:00:00_1_cs__17_8__171___,23:00:00,23:00:00,par_8_3253,1,,,,
9999_8__171___-8__171____3_22:00:00_1_cs__17_8__171___,23:00:00,23:00:00,par_8_3261,2,,,,
9999_8__171___-8__171____3_22:00:00_1_cs__17_8__171___,23:00:00,23:00:00,par_8_06686,3,,,,
9999_8__171___-8__171____3_22:00:00_1_cs__17_8__171___,23:00:00,23:00:00,par_8_06687,4,,,,
9999_8__171___-8__171____3_22:00:00_1_cs__17_8__171___,23:00:00,23:00:00,par_8_06689,5,,,,
