shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8__FS1____1_-_IT_1,40.5179240311183,-3.90386578933994,1000001,0
8__FS1____1_-_IT_1,40.5179240302175,-3.90386578932785,1000002,0.000000100002
8__FS1____1_-_IT_1,40.5178213211571,-3.90369042849585,1000003,0.018727180873
8__FS1____1_-_IT_1,40.5173836724363,-3.9028833242468,1000004,0.121332506088
8__FS1____1_-_IT_1,40.5168635896382,-3.90190500436473,1000005,0.324945381524
8__FS1____1_-_IT_1,40.51655421172,-3.9012972026718,1000006,0.590452768671
8__FS1____1_-_IT_1,40.5163228397833,-3.90085823550627,1000007,0.901156346243
8__FS1____1_-_IT_1,40.5162505953997,-3.90071793671283,1000008,1.226198459611
8__FS1____1_-_IT_1,40.516189257665,-3.90058979500514,1000009,1.564055301857
8__FS1____1_-_IT_1,40.516149413409,-3.90052680314251,1000010,1.908843450815
8__FS1____1_-_IT_1,40.5161122634576,-3.90048452963336,1000011,2.259093588871
8__FS1____1_-_IT_1,40.5160745146067,-3.90049217067412,1000012,2.61358386218
8__FS1____1_-_IT_1,40.5160384937041,-3.90049182801101,1000013,2.9720728529
8__FS1____1_-_IT_1,40.5159926272039,-3.90047447356594,1000014,3.335861427654
8__FS1____1_-_IT_1,40.5159520022428,-3.900440444981,1000015,3.705002429903
8__FS1____1_-_IT_1,40.5159114294654,-3.90039971824251,1000016,4.079817072153
8__FS1____1_-_IT_1,40.5158887436066,-3.90035923320129,1000017,4.458886834406
8__FS1____1_-_IT_1,40.5158636857174,-3.90029527565871,1000018,4.844047358375
8__FS1____1_-_IT_1,40.5158489785638,-3.90021471352754,1000019,5.236225650656
8__FS1____1_-_IT_1,40.515847153365,-3.90012092948733,1000020,5.63635190784
8__FS1____1_-_IT_1,40.515845406344,-3.90001709875742,1000021,6.045276839952
8__FS1____1_-_IT_1,40.51583524262,-3.89991657989129,1000022,6.462792143652
8__FS1____1_-_IT_1,40.5158335404676,-3.89989974086301,1000023,6.881746508647
8__FS1____1_-_IT_1,40.5156618113105,-3.89959734955262,1000024,7.332633993463
8__FS1____1_-_IT_1,40.5156618104005,-3.89959735072087,2000001,7.332633993463
8__FS1____1_-_IT_1,40.5156618113105,-3.89959734955262,2000002,7.332634134885
8__FS1____1_-_IT_1,40.5148484123121,-3.89804084711484,2000003,7.492453375005
8__FS1____1_-_IT_1,40.5142735106952,-3.89692826943282,2000004,7.766104266392
8__FS1____1_-_IT_1,40.5140586005362,-3.89652592873065,2000005,8.081361368329
8__FS1____1_-_IT_1,40.5139469899054,-3.89641623242979,2000006,8.412106438549
8__FS1____1_-_IT_1,40.5138639373138,-3.89640267442471,2000007,8.752142291109
8__FS1____1_-_IT_1,40.5137360412809,-3.89635116717742,2000008,9.107031137364
8__FS1____1_-_IT_1,40.5135993797306,-3.89635307133929,2000009,9.4770913645
8__FS1____1_-_IT_1,40.5134534798307,-3.89643763361565,2000010,9.864861480392
8__FS1____1_-_IT_1,40.512522572682,-3.89729025730266,2000011,10.378714877992
8__FS1____1_-_IT_1,40.5120771249357,-3.89769087591357,2000012,10.952544946399
8__FS1____1_-_IT_1,40.5118031112862,-3.8979165411423,2000013,11.56230258266
8__FS1____1_-_IT_1,40.5116538298849,-3.8980491223641,2000014,12.192079999131
8__FS1____1_-_IT_1,40.5115113719695,-3.89817029985505,2000015,12.840711823554
8__FS1____1_-_IT_1,40.5112855289662,-3.89834630750108,2000016,13.518513867577
8__FS1____1_-_IT_1,40.5111321789065,-3.89845614990714,2000017,14.215716836709
8__FS1____1_-_IT_1,40.5109813302227,-3.89855803315846,2000018,14.931759200971
8__FS1____1_-_IT_1,40.5108526006798,-3.89863943148865,2000019,15.663668729701
8__FS1____1_-_IT_1,40.5107349111527,-3.89871298488556,2000020,16.410052967622
8__FS1____1_-_IT_1,40.5105989362722,-3.89878469571976,2000021,17.172708443266
8__FS1____1_-_IT_1,40.5104164460076,-3.89887656360451,2000022,17.957065688708
8__FS1____1_-_IT_1,40.5102793019924,-3.89894186435787,2000023,18.757621194839
8__FS1____1_-_IT_1,40.5101214448292,-3.89900369191994,2000024,19.576466347688
8__FS1____1_-_IT_1,40.5100015271228,-3.8990500420406,2000025,20.409190506768
8__FS1____1_-_IT_1,40.5098755350276,-3.89909311339369,2000026,21.256369051762
8__FS1____1_-_IT_1,40.5096346290848,-3.89916661846804,2000027,22.131005691041
8__FS1____1_-_IT_1,40.5094280400134,-3.89921980211592,2000028,23.029013876587
8__FS1____1_-_IT_1,40.5092301387533,-3.89925392037511,2000029,23.949180053403
8__FS1____1_-_IT_1,40.5090029493718,-3.89928924650367,2000030,24.89474305077
8__FS1____1_-_IT_1,40.5088698497071,-3.89930505020665,2000031,25.855141720437
8__FS1____1_-_IT_1,40.5087782872849,-3.89931341695783,2000032,26.825729237793
8__FS1____1_-_IT_1,40.5086489088113,-3.89932127850673,2000033,27.810694231509
8__FS1____1_-_IT_1,40.5085049173755,-3.89932574858564,2000034,28.811647904319
8__FS1____1_-_IT_1,40.508313402285,-3.8993231901649,2000035,29.833862377129
8__FS1____1_-_IT_1,40.5081378264804,-3.89931345965043,2000036,30.875584587013
8__FS1____1_-_IT_1,40.5079232637048,-3.89929080717563,2000037,31.941202174048
8__FS1____1_-_IT_1,40.5077672727623,-3.89926954272585,2000038,33.024229474054
8__FS1____1_-_IT_1,40.5075638318554,-3.89923166246829,2000039,34.130067262452
8__FS1____1_-_IT_1,40.5073872779049,-3.8991877480296,2000040,35.255854020208
8__FS1____1_-_IT_1,40.5072192873936,-3.89914075085003,2000041,36.400709478854
8__FS1____1_-_IT_1,40.5069892969713,-3.89906575621208,2000042,37.57187458349
8__FS1____1_-_IT_1,40.5066560544013,-3.89893344142985,2000043,38.781693801657
8__FS1____1_-_IT_1,40.5060905550587,-3.89868202299046,2000044,40.05780412859
8__FS1____1_-_IT_1,40.5057673557122,-3.89853479198163,2000045,41.3718991776
8__FS1____1_-_IT_1,40.5049428932358,-3.89816207704505,2000046,42.782811695094
8__FS1____1_-_IT_1,40.5041056024615,-3.89778555704333,2000047,44.291993241071
8__FS1____1_-_IT_1,40.5036436176895,-3.89757642508496,2000048,45.855434048733
8__FS1____1_-_IT_1,40.5032588368903,-3.89740111329176,2000049,47.464098004349
8__FS1____1_-_IT_1,40.5029726501799,-3.89726771130246,2000050,49.106482070363
8__FS1____1_-_IT_1,40.502519924027,-3.89703241887687,2000051,50.802932725231
8__FS1____1_-_IT_1,40.5021595394188,-3.89686218131874,2000052,52.541910219275
8__FS1____1_-_IT_1,40.5017974168131,-3.89669982728142,2000053,54.323375132682
8__FS1____1_-_IT_1,40.5013659575497,-3.89651921993847,2000054,56.155121089648
8__FS1____1_-_IT_1,40.5011929535975,-3.89645196864626,2000055,58.00689950522
8__FS1____1_-_IT_1,40.5010236851543,-3.89639475867528,2000056,59.878083336775
8__FS1____1_-_IT_1,40.5008543585534,-3.89634504222806,2000057,61.768530070121
8__FS1____1_-_IT_1,40.5007344414159,-3.8963172170519,2000058,63.672495743192
8__FS1____1_-_IT_1,40.50055262481,-3.89627982552303,2000059,65.596891664144
8__FS1____1_-_IT_1,40.500356469376,-3.89624723893731,2000060,67.543236747333
8__FS1____1_-_IT_1,40.5001497978507,-3.89621825955803,2000061,69.512655019921
8__FS1____1_-_IT_1,40.4996888271959,-3.89615467085101,2000062,71.533527524854
8__FS1____1_-_IT_1,40.4995879587774,-3.89614374465206,2000063,73.565635417738
8__FS1____1_-_IT_1,40.4994695445791,-3.89613399880328,2000064,75.610914117964
8__FS1____1_-_IT_1,40.4993801675076,-3.89612183775726,2000065,77.666167738456
8__FS1____1_-_IT_1,40.4993020715622,-3.89611080636971,2000066,79.730140865345
8__FS1____1_-_IT_1,40.4991092443204,-3.89605562685242,2000067,81.816024078308
8__FS1____1_-_IT_1,40.4989862302733,-3.89602042492628,2000068,83.915884824517
8__FS1____1_-_IT_1,40.4987789928951,-3.89594148011758,2000069,86.039703491873
8__FS1____1_-_IT_1,40.4985680730342,-3.89584784155694,2000070,88.188243971809
8__FS1____1_-_IT_1,40.4983583357281,-3.89575388299147,2000071,90.361390742029
8__FS1____1_-_IT_1,40.498226579387,-3.89569136653957,2000072,92.550093387088
8__FS1____1_-_IT_1,40.497695863997,-3.89539776856236,2000073,94.802747753577
8__FS1____1_-_IT_1,40.4969705074334,-3.89518518355895,2000074,97.137912947051
8__FS1____1_-_IT_1,40.4960777100558,-3.89504843544606,2000075,99.572860694203
8__FS1____1_-_IT_1,40.4956952707325,-3.89501144049907,2000076,102.050377726261
8__FS1____1_-_IT_1,40.4947331151736,-3.89491836901092,2000077,104.634992183638
8__FS1____1_-_IT_1,40.4936247856958,-3.89481116288361,2000078,107.342974623286
8__FS1____1_-_IT_1,40.4932422650813,-3.89477416390817,2000079,110.093535361425
8__FS1____1_-_IT_1,40.492750122152,-3.89475947712415,2000080,112.898741863556
8__FS1____1_-_IT_1,40.492387634391,-3.894782760396,2000081,115.744235598351
8__FS1____1_-_IT_1,40.4923452142236,-3.89478836480074,2000082,118.594462185405
8__FS1____1_-_IT_1,40.4920225706295,-3.89483098636071,2000083,121.48068633579
8__FS1____1_-_IT_1,40.4916144614954,-3.89489737360239,2000084,124.412561715607
8__FS1____1_-_IT_1,40.4910887272912,-3.89502342448329,2000085,127.403767252102
8__FS1____1_-_IT_1,40.4907949920401,-3.89515968229528,2000086,130.429564142708
8__FS1____1_-_IT_1,40.490092865739,-3.89540283135494,2000087,133.535980565461
8__FS1____1_-_IT_1,40.4894929705599,-3.89565248754717,2000088,136.712270557054
8__FS1____1_-_IT_1,40.4888933144649,-3.8958712267424,2000089,139.957660237994
8__FS1____1_-_IT_1,40.4884671331764,-3.89604074511447,2000090,143.252492747838
8__FS1____1_-_IT_1,40.4883464593894,-3.89617831148894,2000091,146.565084351537
8__FS1____1_-_IT_1,40.4882893310106,-3.89636969022555,2000092,149.895091825298
8__FS1____1_-_IT_1,40.4883197657915,-3.89655340329574,2000093,153.241032142039
8__FS1____1_-_IT_1,40.4883186759524,-3.89669387459235,2000094,156.598878658779
8__FS1____1_-_IT_1,40.4882943596896,-3.89682825735003,2000095,159.968430223342
8__FS1____1_-_IT_1,40.488222034145,-3.89697575414298,2000096,163.352838964132
8__FS1____1_-_IT_1,40.4881976942244,-3.89702412485205,2000097,166.742157637265
8__FS1____1_-_IT_1,40.4881914372836,-3.89709844004065,2000098,170.137813055489
