stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_07286,07286,DON MANUEL MARTÍNEZ AEDO-COLEGIO,Calle de Don Manuel Martínez-Aedo 2,40.1835899353027,-3.10805749893188,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07454,07454,AV.EJÉRCITO-VEREDA DEL MELERO,Avda del Ejército 40,40.3024673461914,-3.44744753837585,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07455,07455,AV.EJÉRCITO-PZA.BIENVENIDA,Avda del Ejército 1 A,40.301082611084,-3.442143201828,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07461,07461,CTRA.LOECHES-ZOCO,Ctra de Loeches 7,40.3024444580078,-3.4418580532074,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09506,09506,CTRA.ARANJUEZ BREA-COLEGIO,Ctra  M-222 8,40.2090148925781,-3.19309306144714,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09719,09719,MAYOR-ERMITA,Calle  Mayor 59,40.1708755493164,-3.27093267440796,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09722,09722,SAMUEL BALTES-MADRID,Calle de Samuel Baltes 60,40.1700477600098,-3.28090023994446,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09723,09723,MAYOR BAJA-AV.DE LA PAZ,Calle   Mayor Baja 51,40.231330871582,-3.35038948059082,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09724,09724,PZA.CONSTITUCIÓN-AYUNTAMIENTO,Plaza de la Constitución 10,40.2346954345703,-3.35239338874817,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09725,09725,MAYOR ALTA-RANA,Calle  Mayor Alta 58,40.2376403808594,-3.35254979133606,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09761,09761,PZA.CONSTITUCIÓN-AYUNTAMIENTO,Plaza de la Constitución 10,40.2346839904785,-3.35255813598633,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09762,09762,MAYOR ALTA-RANA,Calle  Mayor Alta 93,40.2376670837402,-3.35272622108459,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09763,09763,MAYOR BAJA-AV.DE LA PAZ,Calle  Mayor Baja 72,40.2315979003906,-3.35099029541016,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09788,09788,REAL-ZARZA,Calle   Real 75,40.2993469238281,-3.43418955802917,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10010,10010,MAYOR-CENTRO MÉDICO,Calle  Mayor 50,40.228401184082,-3.11238360404968,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10011,10011,MAYOR-CENTRO MÉDICO,Calle  Mayor 50,40.2283210754395,-3.11232471466064,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10299,10299,PZA.CONSTITUCIÓN-JUAN DE LA CIERVA,Plaza de la Constitución 5,40.300952911377,-3.43807101249695,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10413,10413,PZA.ESPAÑA-AYUNTAMIENTO,Plaza de España 2,40.1685638427734,-3.27614951133728,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10422,10422,SAMUEL BALTES-MADRID,Calle de Samuel Baltes 61,40.1698570251465,-3.28102874755859,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10423,10423,PZA.ESPAÑA-AYUNTAMIENTO,Plaza de España 1,40.1687889099121,-3.27611517906189,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10426,10426,MAYOR-ERMITA,Calle   Mayor 84,40.1706848144531,-3.27102589607239,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10427,10427,CTRA.ARANJUEZ BREA-COLEGIO,Ctra  M-404 (Aranjuez-Brea) 10,40.2089424133301,-3.19290471076965,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10428,10428,PZA.FELIPE VI-AYUNTAMIENTO,Plaza del Generalísimo 1,40.2299613952637,-3.1095769405365,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10429,10429,PZA.PUERTA DE VIÑAS-AV.COM.DE MADRID,Plaza de Puerta de Viñas 11,40.1857986450195,-3.10761451721191,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10430,10430,PUERTA DE VIÑAS-AV.COMUNIDAD DE MADRID,Calle de Puerta de Viñas 1,40.185791015625,-3.10777902603149,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10633,10633,AV.EJÉRCITO-POL.IND.SAN SEBASTIÁN,Avda del Ejército 75,40.3041229248047,-3.45285964012146,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10655,10655,CTRA.LOECHES-DR.ESCRIBANO ORTÍZ,Ctra de Loeches 55,40.3044853210449,-3.44526028633118,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11452,11452,AV.HERMANOS GÓMEZ CUÉTARA-INSTITUTO,Avda  Hermanos Gómez Cuétara 1,40.1735572814941,-3.28655242919922,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11453,11453,AV.HERMANOS GÓMEZ CUÉTARA-INSTITUTO,Avda  Hermanos Gómez Cuétara 1,40.1736488342285,-3.28644704818726,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11902,11902,CTRA.N3-ESTACIÓN COMUNICACIONES,Ctra de Valencia SN,40.262809753418,-3.39000773429871,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11903,11903,CTRA.N3-ESTACIÓN COMUNICACIONES,Ctra de Valencia 11900,40.2626724243164,-3.39014792442322,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11904,11904,REAL-AV.VALENCIA,Calle   Real 114,40.2975769042969,-3.42978930473328,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15140,15140,PZA.DON JUAN CARLOS I-AYUNTAMIENTO,Plaza de Don Juan Carlos I 17,40.1844749450684,-3.10649657249451,C2,http://www.crtm.es,0,,Europe/Madrid,2
