service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9999_8__640___,1,1,1,1,1,0,0,20241028,20251127
9999_8__640_A__,1,1,1,1,1,1,1,20241027,20251127
9999_8__645___,1,1,1,1,1,1,1,20241027,20251127
9999_8__660___,1,1,1,1,1,1,1,20241027,20251127
9999_8__661___,1,1,1,1,1,1,1,20241027,20251127
9999_8__661_A__,1,1,1,1,1,1,1,20241027,20251127
9999_8__662___,1,1,1,1,1,1,1,20241027,20251127
9999_8__664___,1,1,1,1,1,1,1,20241027,20251127
9999_8__665___,1,1,1,1,1,1,1,20241027,20251127
9999_8__666___,1,1,1,1,1,0,0,20241028,20251127
9999_8__667___,1,1,1,1,1,1,1,20241027,20251127
9999_8__669___,1,1,1,1,1,0,0,20241028,20251127
9999_8__669_A__,1,1,1,1,1,1,1,20241027,20251127
9999_8_N_604___,1,1,1,1,1,1,1,20241027,20251127
9999_9__1__131_,1,1,1,1,1,1,1,20241027,20251127
9999_9__2__131_,1,1,1,1,1,1,1,20241027,20251127
9999_9__3__054_,1,1,1,1,1,0,0,20241028,20251127
9999_9__4__131_,1,1,1,1,1,1,1,20241027,20251127
