route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__191___,9999_8__191___,9999_8__191___-8__191____3_08:00:00_1_sc__2_8__191___,SOMOSIERRA-CTRA.IRÚN,191 SOMOSIERRA (por C.Monterrey),0,,8__191____1_sc_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_10:00:00_2_sbs_O1_3_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_sbs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_14:00:00_2_bs__6_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_16:00:00_1_sc_O1_6_8__191___,SOMOSIERRA-CTRA.IRÚN,191 SOMOSIERRA (por C.Monterrey),0,,8__191____1_sc_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_18:00:00_2_dc__10_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_dc_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_20:00:00_1_-__9_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_-_IT_1,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_22:00:00_2_c.__12_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla) colegio,1,,8__191____2_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_08:30:00_2_c.__2_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla) colegio,1,,8__191____2_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_14:15:00_1_bs__5_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_15:00:00_2_bs__15_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_17:00:00_1_sdc__22_8__191___,SOMOSIERRA-CTRA.IRÚN,191 SOMOSIERRA (por C.Monterrey directo),0,,8__191____1_sdc_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_20:00:00_2_c._i._25_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla) colegio,1,,8__191____2_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_22:00:00_1_c.__28_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_16:30:00_2_bs__8_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_22:30:00_1_-__11_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_-_IT_1,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_05:20:00_2_-__1_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_-_IT_1,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_12:00:00_2_bs__12_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_15:00:00_1_sc__19_8__191___,SOMOSIERRA-CTRA.IRÚN,191 SOMOSIERRA (por C.Monterrey),0,,8__191____1_sc_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_18:30:00_1_c.__8_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_20:30:00_2_bs__11_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_07:55:00_1_bs__1_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_13:55:00_2_bs__5_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_07:00:00_2_-__1_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_-_IT_1,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_10:30:00_1_c.__3_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_c._IT_2,0
