stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_5_85,85,VALDELASFUENTES,Calle del Marqués de la Valdavia 140,40.54745,-3.65434,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_5_92,92,VILLAVERDE ALTO,Calle del Valle de Tobalina 56,40.34123,-3.71193,A,http://www.crtm.es,0,,Europe/Madrid,2
par_5_21,21,COLMENAR VIEJO,Calle de la Doctora Nogales de la Morena SN,40.64497,-3.77573,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_5_37,37,GOLOSO EL,Ctra de Colmenar Viejo SN,40.55857,-3.71407,B1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_83,83,TRES CANTOS,Plaza de la Estación 1,40.59844,-3.71564,B2,http://www.crtm.es,0,,Europe/Madrid,1
par_5_1,1,ÁGUILAS LAS,Avda del General Fanjul 110,40.38119,-3.78027,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_104,104,HUMANES,Calle   Cenicientos 26,40.25565,-3.82847,B3,http://www.crtm.es,0,,Europe/Madrid,1
par_5_105,105,PARQUE POLVORANCA,Calle   Alcalde Francisco Moreno Menéndez 4,40.3125,-3.78334,B1,http://www.crtm.es,0,,Europe/Madrid,1
par_5_24,24,CUATRO VIENTOS,Paseo de Extremadura 567 A,40.37771,-3.79143,A,http://www.crtm.es,0,,Europe/Madrid,1
par_5_26,26,DOCE DE OCTUBRE,Avda de Córdoba 39,40.37896,-3.69861,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_28,28,EMBAJADORES,Gta de Embajadores 1,40.40513,-3.70262,A,http://www.crtm.es,0,,Europe/Madrid,1
par_5_30,30,FANJUL,Avda del General Fanjul 27,40.38365,-3.76856,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_32,32,FUENLABRADA,Plaza  Constitución 1,40.28268,-3.79885,B2,http://www.crtm.es,0,,Europe/Madrid,1
